name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
node-red,https://github.com/node-red/node-red,JavaScript,89,0,167,7,12.9,14,163,108,1.8,1496,0.68952
hls.js,https://github.com/video-dev/hls.js,TypeScript,72,0,240,8,15.6,32,349,297,1.6,231,0.68925
vega,https://github.com/vega/vega,JavaScript,96,0,107,9,10.4,19,139,99,1.2,2504,0.68916
request,https://github.com/request/request,JavaScript,130,11,343,9,0.0,13,76,47,1.3,198280,0.6889
PeerTube,https://github.com/Chocobozzz/PeerTube,TypeScript,63,0,336,5,40.9,10,489,307,2.6,195,0.68846
fullcalendar,https://github.com/fullcalendar/fullcalendar,TypeScript,143,0,129,8,22.9,18,285,164,1.6,386,0.68822
react-testing-library,https://github.com/testing-library/react-testing-library,JavaScript,34,1,155,9,2.1,37,100,92,3.3,8038,0.68708
sweetalert2,https://github.com/sweetalert2/sweetalert2,JavaScript,76,0,106,10,5.5,78,93,86,2.4,1319,0.68698
react-query,https://github.com/tannerlinsley/react-query,TypeScript,16,0,224,8,16.0,186,263,244,3.4,557,0.68676
rushstack,https://github.com/microsoft/rushstack,TypeScript,62,0,165,3,55.5,1693,202,114,1.9,1713,0.68656
codecombat,https://github.com/codecombat/codecombat,CoffeeScript,86,0,772,5,7.8,0,170,142,0.7,18329,0.68653
google-api-nodejs-client,https://github.com/googleapis/google-api-nodejs-client,TypeScript,95,0,141,6,25.5,24,355,317,0.8,940,0.68568
remark,https://github.com/remarkjs/remark,JavaScript,115,0,107,10,2.0,24,44,43,2.9,1936,0.68565
graphiql,https://github.com/graphql/graphiql,TypeScript,66,0,178,8,6.3,188,78,51,2.4,1348,0.68555
formik,https://github.com/formium/formik,TypeScript,43,0,408,9,6.9,44,546,324,2.0,145,0.68541
underscore,https://github.com/jashkenas/underscore,JavaScript,136,0,314,11,3.6,6,34,25,2.5,1320,0.68399
force,https://github.com/artsy/force,TypeScript,87,0,117,7,46.5,24,566,554,0.4,604,0.6834
loopback-next,https://github.com/strongloop/loopback-next,TypeScript,48,0,180,7,41.2,1258,818,493,1.2,223,0.68331
jquery,https://github.com/jquery/jquery,JavaScript,180,1,328,7,1.3,1,36,25,1.9,72991,0.68275
