name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
boto3,https://github.com/boto/boto3,Python,77,0,108,5,9.8,115,211,125,1.7,10575,0.70242
netbox,https://github.com/netbox-community/netbox,Python,59,0,161,9,42.9,45,1146,1049,0.8,263,0.6988
mitmproxy,https://github.com/mitmproxy/mitmproxy,Python,132,0,379,6,9.9,7,285,225,1.3,1562,0.69872
jupyterhub,https://github.com/jupyterhub/jupyterhub,Python,80,0,233,11,7.1,6,300,243,1.3,2364,0.69852
pyramid,https://github.com/Pylons/pyramid,Python,152,0,336,9,3.4,12,206,203,0.3,4404,0.69755
nvda,https://github.com/nvaccess/nvda,Python,175,0,160,3,39.5,18,547,238,2.7,759,0.69745
flask,https://github.com/pallets/flask,Python,131,0,707,6,3.0,1,3649,3641,0.0,4664,0.69514
tribler,https://github.com/Tribler/tribler,Python,186,0,127,10,14.1,24,487,259,2.3,147,0.69443
cinder,https://github.com/openstack/cinder,Python,105,0,1225,6,8.2,24,0,0,0,45618,0.69393
kivy,https://github.com/kivy/kivy,Python,124,0,523,6,4.1,1,681,455,0.8,5474,0.69284
mmdetection,https://github.com/open-mmlab/mmdetection,Python,29,0,182,13,12.4,7,793,628,1.7,1736,0.69283
jumpserver,https://github.com/jumpserver/jumpserver,Python,79,0,119,4,14.6,29,714,531,0.7,6263,0.69234
nipype,https://github.com/nipy/nipype,Python,139,1,212,10,4.5,4,44,27,2.6,9186,0.69144
glance,https://github.com/openstack/glance,Python,127,0,601,7,3.1,16,2,2,1.0,17795,0.69114
pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Python,21,0,351,6,43.2,28,2073,1727,3.1,48,0.69051
conan,https://github.com/conan-io/conan,Python,62,0,234,6,12.6,33,689,431,2.2,302,0.69006
easylist,https://github.com/easylist/easylist,Python,135,0,121,3,233.8,0,817,429,0.6,13252,0.68967
fairseq,https://github.com/pytorch/fairseq,Python,41,0,281,3,11.9,2,565,327,2.2,19723,0.68919
typeshed,https://github.com/python/typeshed,Python,71,0,819,8,18.4,0,350,296,1.4,894,0.68737
InstaPy,https://github.com/timgrossmann/InstaPy,Python,52,0,291,6,4.1,9,311,254,2.5,2037,0.68625
pre-commit,https://github.com/pre-commit/pre-commit,Python,83,0,113,8,3.3,20,151,144,2.7,1849,0.68598
xarray,https://github.com/pydata/xarray,Python,88,0,286,8,8.6,5,418,217,2.4,470,0.68593
prefect,https://github.com/PrefectHQ/prefect,Python,46,0,169,6,74.9,51,502,401,2.1,143,0.68584
datasets,https://github.com/tensorflow/datasets,Python,28,0,177,5,30.1,9,513,382,1.8,2740,0.68311
pygments,https://github.com/pygments/pygments,Python,173,0,572,7,4.7,5,120,71,1.8,789,0.68271
docker-py,https://github.com/docker/docker-py,Python,93,0,381,9,1.5,6,116,53,0.9,5946,0.6825
psutil,https://github.com/giampaolo/psutil,Python,154,0,154,8,6.1,6,972,845,0.2,3698,0.682
neutron,https://github.com/openstack/neutron,Python,122,0,1162,3,12.5,22,0,0,0,70482,0.68111
cookiecutter-django,https://github.com/pydanny/cookiecutter-django,Python,90,0,309,9,14.2,9,160,130,0.9,609,0.68053
pipenv,https://github.com/pypa/pipenv,Python,48,0,370,7,6.2,8,224,139,2.0,1197,0.67901
ros_comm,https://github.com/ros/ros_comm,Python,124,0,283,10,2.6,21,84,47,1.5,577,0.67866
pipelines,https://github.com/kubeflow/pipelines,Python,32,0,200,2,20.0,27,726,387,3.6,1428,0.67854
freeipa,https://github.com/freeipa/freeipa,Python,164,0,185,5,17.2,10,258,226,3.7,179,0.67675
statsmodels,https://github.com/statsmodels/statsmodels,Python,180,0,296,4,13.0,6,282,96,2.4,772,0.67533
heat,https://github.com/openstack/heat,Python,107,1,569,4,2.1,19,1,1,2.0,49733,0.67495
scrapy,https://github.com/scrapy/scrapy,Python,142,0,459,4,10.8,8,246,134,2.2,376,0.67488
translate,https://github.com/translate/translate,Python,175,1,111,5,6.3,6,85,77,0.6,99602,0.67464
fastapi,https://github.com/tiangolo/fastapi,Python,25,0,205,5,13.9,32,923,502,3.0,343,0.67351
addons,https://github.com/tensorflow/addons,Python,25,0,144,8,16.4,14,190,144,3.0,859,0.67281
jedi,https://github.com/davidhalter/jedi,Python,108,0,139,9,16.2,3,58,45,2.6,1120,0.67262
gunicorn,https://github.com/benoitc/gunicorn,Python,135,0,360,10,0.8,8,93,43,1.6,1193,0.6723
beets,https://github.com/beetbox/beets,Python,154,0,430,4,7.7,4,169,130,2.0,1159,0.67203
