name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
git2-rs,https://github.com/rust-lang/git2-rs,Rust,78,0,177,5,2.1,21,35,23,1.5,381,0.60486
cc-rs,https://github.com/alexcrichton/cc-rs,Rust,75,1,169,6,1.3,20,30,22,1.6,970,0.60435
sccache,https://github.com/mozilla/sccache,Rust,84,0,104,7,3.6,2,105,75,1.6,632,0.60349
wgpu,https://github.com/gfx-rs/wgpu,Rust,28,0,93,8,9.2,2,212,159,2.2,350,0.60159
MeiliSearch,https://github.com/meilisearch/MeiliSearch,Rust,33,0,43,7,11.8,22,232,166,2.3,113,0.60102
rustlings,https://github.com/rust-lang/rustlings,Rust,64,0,160,3,4.6,7,87,71,1.9,714,0.60072
tracing,https://github.com/tokio-rs/tracing,Rust,28,0,126,7,6.9,4,191,123,1.5,438,0.59995
materialize,https://github.com/MaterializeInc/materialize,Rust,37,0,44,4,69.0,18,1076,708,1.0,73,0.59839
indy-sdk,https://github.com/hyperledger/indy-sdk,Rust,46,0,178,6,7.8,3,162,80,0.8,508,0.59722
bevy,https://github.com/bevyengine/bevy,Rust,14,0,166,6,25.4,4,655,474,2.9,35,0.59712
shadowsocks-rust,https://github.com/shadowsocks/shadowsocks-rust,Rust,76,0,34,5,10.4,27,89,78,5.3,35,0.59656
sqlx,https://github.com/launchbadge/sqlx,Rust,19,0,123,7,23.0,15,319,210,1.8,34,0.59651
ckb,https://github.com/nervosnetwork/ckb,Rust,36,0,34,3,13.4,46,168,154,3.3,327,0.59508
wrangler,https://github.com/cloudflare/wrangler,Rust,22,0,63,6,9.1,25,213,125,1.4,305,0.59504
grin,https://github.com/mimblewimble/grin,Rust,51,0,165,5,3.8,21,106,82,1.3,134,0.59402
tokei,https://github.com/XAMPPRocky/tokei,Rust,68,0,169,5,6.2,14,58,41,0.9,180,0.59002
libhermit-rs,https://github.com/hermitcore/libhermit-rs,Rust,69,0,19,6,9.3,21,41,34,4.0,187,0.58989
lighthouse,https://github.com/sigp/lighthouse,Rust,30,0,74,2,14.7,27,565,432,2.3,150,0.58945
rust-postgres,https://github.com/sfackler/rust-postgres,Rust,91,0,89,5,2.0,26,77,59,2.0,100,0.58841
rayon,https://github.com/rayon-rs/rayon,Rust,76,1,113,7,1.8,7,27,14,3.3,404,0.58833
tarpaulin,https://github.com/xd009642/tarpaulin,Rust,45,0,62,7,8.7,20,97,75,1.4,115,0.58739
crossbeam,https://github.com/crossbeam-rs/crossbeam,Rust,69,0,109,6,2.7,3,74,42,1.8,492,0.58723
jormungandr,https://github.com/input-output-hk/jormungandr,Rust,27,0,46,8,38.8,23,356,306,0.5,59,0.58612
cargo-make,https://github.com/sagiegurari/cargo-make,Rust,43,0,32,6,5.8,31,48,45,3.3,191,0.58584
application-services,https://github.com/mozilla/application-services,Rust,34,0,72,4,12.8,53,343,162,0.8,185,0.58238
swc,https://github.com/swc-project/swc,Rust,37,0,48,7,7.9,19,218,148,1.0,149,0.5805
rust-smallvec,https://github.com/servo/rust-smallvec,Rust,70,0,66,8,0.8,7,14,9,2.7,584,0.58002
LanguageClient-neovim,https://github.com/autozimu/LanguageClient-neovim,Rust,48,1,125,8,3.1,6,155,131,1.7,152,0.57957
rhai,https://github.com/jonathandturner/rhai,Rust,59,0,24,8,26.5,19,73,68,2.7,24,0.57927
backtrace-rs,https://github.com/rust-lang/backtrace-rs,Rust,68,1,78,4,2.1,16,41,27,3.1,542,0.57798
parking_lot,https://github.com/Amanieu/parking_lot,Rust,56,0,62,7,1.5,8,22,16,3.4,314,0.57772
rusoto,https://github.com/rusoto/rusoto,Rust,66,0,176,6,3.5,4,79,36,1.3,160,0.5776
actix-net,https://github.com/actix/actix-net,Rust,29,0,56,9,3.0,39,46,29,2.1,141,0.57748
wezterm,https://github.com/wez/wezterm,Rust,37,0,28,2,22.0,23,142,119,3.0,346,0.57732
nom,https://github.com/Geal/nom,Rust,75,1,270,3,3.2,12,134,76,1.3,208,0.57724
rust-bitcoin,https://github.com/rust-bitcoin/rust-bitcoin,Rust,79,0,59,7,3.1,4,101,67,2.7,98,0.57437
kube-rs,https://github.com/clux/kube-rs,Rust,27,0,44,8,11.1,16,53,36,2.5,90,0.57426
nalgebra,https://github.com/dimforge/nalgebra,Rust,93,0,122,8,3.5,9,75,46,1.4,30,0.57412
actix,https://github.com/actix/actix,Rust,41,0,99,5,1.9,4,30,16,2.3,1139,0.57383
itertools,https://github.com/rust-itertools/itertools,Rust,78,0,99,4,4.3,13,37,25,2.1,141,0.57336
rust-mozjs,https://github.com/servo/rust-mozjs,Rust,107,0,91,6,0.6,2,3,3,3.3,1356,0.57323
yew,https://github.com/yewstack/yew,Rust,37,0,211,2,10.6,18,114,64,2.5,55,0.57234
juniper,https://github.com/graphql-rust/juniper,Rust,52,0,106,4,4.3,15,96,59,1.8,114,0.57197
zola,https://github.com/getzola/zola,Rust,49,1,208,6,3.6,6,125,62,2.0,88,0.57185
redis-rs,https://github.com/mitsuhiko/redis-rs,Rust,85,0,91,8,4.4,5,57,39,1.6,62,0.57104
broot,https://github.com/Canop/broot,Rust,26,0,37,5,8.4,52,59,37,2.9,177,0.57029
tide,https://github.com/http-rs/tide,Rust,29,0,108,5,7.5,11,98,62,1.9,99,0.56984
sentry-cli,https://github.com/getsentry/sentry-cli,Rust,60,0,72,4,2.8,21,60,35,1.4,287,0.56806
sled,https://github.com/spacejam/sled,Rust,60,0,61,5,14.1,11,76,56,1.0,128,0.56782
geo,https://github.com/georust/geo,Rust,72,0,56,4,5.1,13,84,50,2.6,81,0.565
structopt,https://github.com/TeXitoi/structopt,Rust,48,1,56,5,1.5,6,26,24,2.5,2221,0.56473
delta,https://github.com/dandavison/delta,Rust,18,0,48,3,15.8,12,169,136,3.2,155,0.56247
probe-rs,https://github.com/probe-rs/probe-rs,Rust,23,0,59,6,13.3,12,153,108,2.4,37,0.56196
ruffle,https://github.com/ruffle-rs/ruffle,Rust,53,0,48,3,48.1,95,1012,660,1.4,5,0.56043
rust,https://github.com/exercism/rust,Rust,92,1,207,6,2.3,0,80,76,1.3,394,0.56034
cargo-c,https://github.com/lu-zero/cargo-c,Rust,22,0,27,8,2.5,21,47,41,2.8,220,0.55926
cortex-m,https://github.com/rust-embedded/cortex-m,Rust,52,1,47,9,2.9,1,46,37,4.1,298,0.55891
x86_64,https://github.com/rust-osdev/x86_64,Rust,76,0,45,7,4.0,16,45,35,1.7,58,0.55877
hashbrown,https://github.com/rust-lang/hashbrown,Rust,26,0,54,6,2.7,14,20,15,3.6,212,0.5587
linkerd2-proxy,https://github.com/linkerd/linkerd2-proxy,Rust,37,0,33,7,5.8,47,134,130,0.4,219,0.55868
rust-fil-proofs,https://github.com/filecoin-project/rust-fil-proofs,Rust,31,0,40,5,7.5,172,124,100,2.2,58,0.55847
glium,https://github.com/glium/glium,Rust,76,0,140,6,1.1,8,40,31,2.5,36,0.55808
racer,https://github.com/racer-rust/racer,Rust,83,1,168,8,1.0,2,20,13,2.1,237,0.558
comit-rs,https://github.com/comit-network/comit-rs,Rust,33,0,22,3,50.9,6,224,219,2.7,109,0.55758
rust-cssparser,https://github.com/servo/rust-cssparser,Rust,97,1,51,6,0.1,12,2,2,4.5,880,0.5566
actix-extras,https://github.com/actix/actix-extras,Rust,40,0,245,5,3.0,24,45,31,1.4,21,0.5551
fd,https://github.com/sharkdp/fd,Rust,44,1,107,4,3.6,6,95,70,2.4,218,0.55492
log,https://github.com/rust-lang/log,Rust,74,0,84,8,0.8,1,29,16,1.4,617,0.55426
lemmy,https://github.com/LemmyNet/lemmy,Rust,23,0,131,1,27.1,10,246,159,1.5,206,0.55406
deltachat-core-rust,https://github.com/deltachat/deltachat-core-rust,Rust,20,0,23,6,28.8,38,206,167,2.1,25,0.55322
rust-libp2p,https://github.com/libp2p/rust-libp2p,Rust,46,0,84,4,7.0,1,181,134,1.9,187,0.55281
librsvg,https://github.com/GNOME/librsvg,Rust,241,0,176,3,16.8,7,0,0,0,2192,0.55274
wasm-tools,https://github.com/bytecodealliance/wasm-tools,Rust,44,0,38,6,8.3,33,82,72,1.0,69,0.5526
graph-node,https://github.com/graphprotocol/graph-node,Rust,33,0,31,5,22.3,10,213,162,0.8,139,0.55235
imageflow,https://github.com/imazen/imageflow,Rust,75,0,19,7,8.5,33,60,56,1.3,53,0.55136
warp,https://github.com/seanmonstar/warp,Rust,33,1,117,9,2.1,6,83,31,2.0,94,0.55107
exa,https://github.com/ogham/exa,Rust,81,2,115,8,1.6,2,142,99,1.3,181,0.55088
tokenizers,https://github.com/huggingface/tokenizers,Rust,14,0,39,6,20.6,28,169,125,1.7,36,0.55072
