name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
YetiForceCRM,https://github.com/YetiForceCompany/YetiForceCRM,PHP,74,0,88,3,36.6,3,464,385,1.4,6898,0.66363
phpbb,https://github.com/phpbb/phpbb,PHP,242,0,298,3,12.0,8,65,44,1.7,2385,0.66286
common,https://github.com/doctrine/common,PHP,179,1,209,10,1.2,10,17,17,1.5,8155,0.66253
phpseclib,https://github.com/phpseclib/phpseclib,PHP,165,0,118,8,2.7,11,38,21,3.9,1016,0.66235
spotweb,https://github.com/spotweb/spotweb,PHP,120,0,101,6,6.2,5,22,22,4.6,2177,0.66071
sulu,https://github.com/sulu/sulu,PHP,91,0,136,6,9.5,35,293,218,1.4,351,0.65993
mongodb-odm,https://github.com/doctrine/mongodb-odm,PHP,130,0,320,9,1.6,9,57,36,1.9,562,0.65914
core,https://github.com/api-platform/core,PHP,72,0,264,9,5.8,8,285,189,1.5,272,0.65898
forkcms,https://github.com/forkcms/forkcms,PHP,149,1,152,9,8.0,7,108,74,1.1,2187,0.65871
wp-rocket,https://github.com/wp-media/wp-rocket,PHP,93,0,64,9,12.5,34,427,254,1.7,173,0.65765
revolution,https://github.com/modxcms/revolution,PHP,170,0,240,9,3.3,6,323,243,0.7,560,0.65561
framework-bundle,https://github.com/symfony/framework-bundle,PHP,126,0,627,12,6.7,52,0,0,0,3999,0.65557
drupal,https://github.com/drupal/drupal,PHP,251,0,129,6,28.5,21,2,2,0.5,8537,0.65508
laravel-ide-helper,https://github.com/barryvdh/laravel-ide-helper,PHP,95,0,175,9,2.3,5,136,89,1.8,1123,0.65479
coding-standard,https://github.com/slevomat/coding-standard,PHP,61,0,59,12,10.5,24,80,69,1.8,822,0.65479
polyfill,https://github.com/symfony/polyfill,PHP,94,0,104,13,2.0,1,42,38,2.8,6612,0.65466
plugins,https://github.com/opnsense/plugins,PHP,67,0,147,6,7.5,24,214,125,2.3,300,0.65441
i-educar,https://github.com/portabilis/i-educar,PHP,144,1,82,6,26.3,19,29,20,0.7,7042,0.65386
ojs,https://github.com/pkp/ojs,PHP,206,0,193,6,35.7,5,99,78,1.3,338,0.65376
hyperf,https://github.com/hyperf/hyperf,PHP,25,0,197,8,27.8,45,507,461,2.0,54,0.65374
maker-bundle,https://github.com/symfony/maker-bundle,PHP,38,0,115,12,3.3,21,150,97,1.3,1664,0.65351
php-code-coverage,https://github.com/sebastianbergmann/php-code-coverage,PHP,141,0,102,8,7.4,14,31,24,2.4,693,0.65346
http-kernel,https://github.com/symfony/http-kernel,PHP,126,0,360,14,4.3,52,0,0,0,10886,0.65187
infection,https://github.com/infection/infection,PHP,45,0,58,6,7.6,29,151,132,2.1,2180,0.65182
mockery,https://github.com/mockery/mockery,PHP,144,1,202,11,1.6,5,18,8,2.1,5579,0.65152
demo,https://github.com/symfony/demo,PHP,70,0,147,10,1.6,7,49,29,1.0,6436,0.65082
deployer,https://github.com/deployphp/deployer,PHP,91,0,286,9,5.7,12,281,268,1.7,56,0.65065
horizon,https://github.com/laravel/horizon,PHP,42,0,123,7,4.4,31,66,66,1.7,1896,0.65056
simplesamlphp,https://github.com/simplesamlphp/simplesamlphp,PHP,162,0,199,12,5.9,6,71,32,1.7,346,0.64999
FOSRestBundle,https://github.com/FriendsOfSymfony/FOSRestBundle,PHP,119,0,331,8,3.7,22,23,15,1.7,235,0.64914
sentry-php,https://github.com/getsentry/sentry-php,PHP,109,0,181,11,2.0,18,65,48,3.1,111,0.64827
server,https://github.com/kaltura/server,PHP,125,0,216,1,35.9,16,507,472,0.2,2834,0.64813
socialite,https://github.com/laravel/socialite,PHP,78,0,108,9,1.0,10,41,40,2.7,1985,0.6475
timber,https://github.com/timber/timber,PHP,97,0,229,9,2.7,10,97,59,2.3,204,0.6468
osu-web,https://github.com/ppy/osu-web,PHP,65,0,151,4,61.1,57,403,303,1.0,120,0.64599
serializer,https://github.com/symfony/serializer,PHP,121,0,201,13,1.5,52,2,2,1.0,3210,0.64573
laravel-permission,https://github.com/spatie/laravel-permission,PHP,64,0,146,7,4.0,17,120,90,1.5,816,0.64467
wp-graphql,https://github.com/wp-graphql/wp-graphql,PHP,51,0,104,11,9.6,38,204,162,1.7,136,0.64447
boinc,https://github.com/BOINC/boinc,PHP,227,0,175,3,19.5,1,149,76,2.8,1474,0.64438
SuiteCRM,https://github.com/salesagility/SuiteCRM,PHP,88,2,231,5,4.7,15,419,77,0.8,3620,0.64434
pods,https://github.com/pods-framework/pods,PHP,149,0,97,9,12.4,14,162,101,1.0,233,0.64416
security,https://github.com/symfony/security,PHP,124,0,430,13,2.4,26,0,0,0,7788,0.6432
validator,https://github.com/symfony/validator,PHP,126,0,511,12,3.7,52,0,0,0,4385,0.64318
dusk,https://github.com/laravel/dusk,PHP,49,0,120,6,2.9,26,39,39,1.6,3246,0.6424
