name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
Bastion,https://github.com/TheBastionBot/Bastion,Shell,47,0,29,7,1.2,21,10,7,1.7,1696,0.56595
RetroPie-Setup,https://github.com/RetroPie/RetroPie-Setup,Shell,103,0,171,2,8.8,3,103,88,1.0,256,0.56563
container.training,https://github.com/jpetazzo/container.training,Shell,71,0,88,10,4.2,5,11,11,0.9,193,0.56263
heads,https://github.com/osresearch/heads,Shell,54,0,39,6,3.6,1,152,84,5.3,109,0.56185
backup-utils,https://github.com/github/backup-utils,Shell,79,0,95,3,8.3,9,31,19,0.7,562,0.56137
prowler,https://github.com/toniblyx/prowler,Shell,55,0,124,6,7.6,3,76,54,2.0,42,0.56072
zsh-completions,https://github.com/zsh-users/zsh-completions,Shell,115,3,242,5,1.4,4,16,10,2.1,451,0.55965
docksal,https://github.com/docksal/docksal,Shell,72,0,72,8,3.3,5,61,36,1.7,66,0.55937
dotdrop,https://github.com/deadc0de6/dotdrop,Shell,46,0,27,5,7.4,16,40,39,5.5,38,0.55746
server-configs-apache,https://github.com/h5bp/server-configs-apache,Shell,130,1,92,7,0.9,1,16,12,1.2,1837,0.55669
openhabian,https://github.com/openhab/openhabian,Shell,53,0,42,5,9.2,4,192,170,2.3,63,0.55503
awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,Shell,63,1,337,11,2.6,1,19,18,0.9,130,0.55339
devstack,https://github.com/openstack/devstack,Shell,113,0,907,6,3.3,1,0,0,0,598,0.5517
build-image,https://github.com/netlify/build-image,Shell,79,1,73,6,2.1,13,54,17,2.1,110,0.55132
neofetch,https://github.com/dylanaraps/neofetch,Shell,61,1,188,2,3.1,2,120,84,1.3,1086,0.55108
goenv,https://github.com/syndbg/goenv,Shell,114,0,182,9,0.6,5,14,7,0.9,69,0.54974
hugoThemes,https://github.com/gohugoio/hugoThemes,Shell,80,0,56,7,7.0,0,45,18,2.0,238,0.54852
amazon-eks-ami,https://github.com/awslabs/amazon-eks-ami,Shell,31,0,112,4,2.1,22,74,53,2.3,50,0.54833
ruby-install,https://github.com/postmodern/ruby-install,Shell,95,0,49,8,1.6,3,52,33,2.5,61,0.54779
vscodium,https://github.com/VSCodium/vscodium,Shell,29,0,50,4,2.1,27,123,73,2.8,78,0.54712
arrow,https://github.com/arrow-kt/arrow,Shell,94,0,180,6,4.6,2,16,12,0.6,147,0.54657
fisher,https://github.com/jorgebucaran/fisher,Shell,64,0,61,5,1.6,7,63,56,3.9,36,0.54654
astronomer,https://github.com/astronomer/astronomer,Shell,36,0,35,5,8.4,83,173,168,0.6,98,0.54586
spec,https://github.com/cloudevents/spec,Shell,37,0,91,11,1.7,1,62,42,2.3,82,0.54557
bitnami-docker-mariadb,https://github.com/bitnami/bitnami-docker-mariadb,Shell,68,0,30,5,31.6,847,14,11,4.2,6,0.54551
opengapps,https://github.com/opengapps/opengapps,Shell,69,1,76,4,1.6,7,22,10,2.2,692,0.54442
examples,https://github.com/confluentinc/examples,Shell,33,0,64,3,9.3,191,96,84,1.0,109,0.54435
nginx-ultimate-bad-bot-blocker,https://github.com/mitchellkrogza/nginx-ultimate-bad-bot-blocker,Shell,54,0,21,9,5.5,216,12,4,1.3,172,0.54394
zsh-syntax-highlighting,https://github.com/zsh-users/zsh-syntax-highlighting,Shell,122,2,65,3,4.4,2,25,9,2.8,1073,0.54297
bitnami-docker-wordpress,https://github.com/bitnami/bitnami-docker-wordpress,Shell,64,0,28,7,7.3,319,16,9,3.9,13,0.54253
libretro-super,https://github.com/libretro/libretro-super,Shell,111,0,152,3,9.8,1,27,18,0.8,239,0.54219
docker4drupal,https://github.com/wodby/docker4drupal,Shell,54,0,45,9,8.6,9,16,5,1.7,52,0.54193
bitbar-plugins,https://github.com/matryer/bitbar-plugins,Shell,60,0,587,7,3.4,0,71,40,0.4,43,0.54157
docker-pi-hole,https://github.com/pi-hole/docker-pi-hole,Shell,60,0,79,4,2.5,7,100,60,3.4,24,0.54016
thinstation,https://github.com/Thinstation/thinstation,Shell,108,0,42,2,4.8,4,25,13,6.5,97,0.53998
pre-commit-terraform,https://github.com/antonbabenko/pre-commit-terraform,Shell,52,1,35,13,1.0,12,23,13,1.8,279,0.53952
oh-my-fish,https://github.com/oh-my-fish/oh-my-fish,Shell,103,1,217,8,0.4,1,42,27,2.3,44,0.53949
rbenv,https://github.com/rbenv/rbenv,Shell,114,1,106,8,0.3,1,24,16,0.7,887,0.53917
zimfw,https://github.com/zimfw/zimfw,Shell,61,1,43,7,0.9,10,12,7,2.9,337,0.53877
Adafruit_CircuitPython_Bundle,https://github.com/adafruit/Adafruit_CircuitPython_Bundle,Shell,51,0,30,5,5.8,239,16,16,1.0,245,0.53843
golang,https://github.com/docker-library/golang,Shell,78,0,35,8,0.9,0,11,7,3.5,719,0.53823
