name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
blink1,https://github.com/todbot/blink1,C#,107,2,55,4,0.1,2,8,5,5.8,10872,0.57484
MessagePack-CSharp,https://github.com/neuecc/MessagePack-CSharp,C#,47,1,66,5,4.6,14,121,90,2.0,325,0.57441
coverlet,https://github.com/coverlet-coverage/coverlet,C#,35,0,82,5,2.5,3,108,77,3.3,360,0.57394
Covid19Radar,https://github.com/Covid-19Radar/Covid19Radar,C#,9,1,115,9,127.9,4,32,28,0.2,972,0.57375
chummer5a,https://github.com/chummer5a/chummer5a,C#,72,0,99,0,16.6,264,99,68,1.4,1864,0.57336
Catel,https://github.com/Catel/Catel,C#,94,0,57,3,6.0,10,71,68,0.6,1170,0.57324
monotorrent,https://github.com/alanmcgovern/monotorrent,C#,174,0,33,7,5.5,23,57,46,2.7,23,0.57281
resharper-unity,https://github.com/JetBrains/resharper-unity,C#,70,0,62,4,21.5,8,184,140,0.9,114,0.57277
project-system,https://github.com/dotnet/project-system,C#,66,0,117,1,23.1,3,327,179,1.4,501,0.5724
opencvsharp,https://github.com/shimat/opencvsharp,C#,85,0,56,4,6.5,11,122,87,1.1,231,0.57189
Ombi,https://github.com/tidusjar/Ombi,C#,59,0,97,2,8.6,2,234,172,2.5,373,0.5718
PTVS,https://github.com/microsoft/PTVS,C#,119,1,70,6,2.6,4,107,64,1.6,356,0.57131
microsoft-ui-xaml,https://github.com/microsoft/microsoft-ui-xaml,C#,29,0,84,1,7.1,16,916,348,3.5,183,0.57124
LiteDB,https://github.com/mbdavid/LiteDB,C#,77,0,85,5,5.7,9,118,45,1.2,127,0.57123
squidex,https://github.com/Squidex/squidex,C#,53,0,41,7,13.8,33,31,29,0.4,288,0.57115
hotchocolate,https://github.com/ChilliCream/hotchocolate,C#,36,0,75,4,12.6,45,596,371,1.4,23,0.56961
Rebus,https://github.com/rebus-org/Rebus,C#,113,1,86,6,0.7,42,23,21,3.6,64,0.56878
Steeltoe,https://github.com/SteeltoeOSS/Steeltoe,C#,61,0,61,6,3.8,14,136,83,1.6,75,0.56855
