name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
puppetlabs-mysql,https://github.com/puppetlabs/puppetlabs-mysql,Ruby,117,0,347,5,1.4,7,31,27,1.3,346,0.6058
travis-build,https://github.com/travis-ci/travis-build,Ruby,112,0,274,9,4.8,1,19,13,0.4,1093,0.60507
ransack,https://github.com/activerecord-hackery/ransack,Ruby,119,0,189,5,1.2,3,92,55,1.7,610,0.60475
chromebrew,https://github.com/skycocker/chromebrew,Ruby,90,0,132,7,14.9,1,515,456,1.8,43,0.60423
html-proofer,https://github.com/gjtorikian/html-proofer,Ruby,95,0,66,11,1.6,2,32,28,1.7,1662,0.60418
oracle-enhanced,https://github.com/rsim/oracle-enhanced,Ruby,154,0,110,9,1.2,8,53,40,1.2,320,0.6035
carrierwave,https://github.com/carrierwaveuploader/carrierwave,Ruby,150,1,412,10,0.2,5,33,16,0.7,677,0.6031
homebrew-cask-fonts,https://github.com/Homebrew/homebrew-cask-fonts,Ruby,86,0,376,6,68.6,0,1281,1281,0.1,25,0.60246
chef-dk,https://github.com/chef/chef-dk,Ruby,106,0,170,4,7.3,143,59,56,0.5,236,0.60194
vagrant-libvirt,https://github.com/vagrant-libvirt/vagrant-libvirt,Ruby,94,0,207,8,1.2,5,91,72,1.7,120,0.60137
active_scaffold,https://github.com/activescaffold/active_scaffold,Ruby,169,2,142,11,1.9,10,9,8,2.9,369,0.60123
www.ruby-lang.org,https://github.com/ruby/www.ruby-lang.org,Ruby,114,0,407,8,6.3,0,123,105,0.7,141,0.60099
24pullrequests,https://github.com/24pullrequests/24pullrequests,Ruby,99,0,266,10,5.2,0,94,91,0.3,487,0.60085
rack-mini-profiler,https://github.com/MiniProfiler/rack-mini-profiler,Ruby,106,0,179,8,0.9,4,18,10,1.3,930,0.60036
haml,https://github.com/haml/haml,Ruby,176,1,173,8,0.7,2,12,9,2.5,1683,0.59959
asset_sync,https://github.com/AssetSync/asset_sync,Ruby,115,0,114,10,0.3,7,5,2,4.6,256,0.59948
tzinfo,https://github.com/tzinfo/tzinfo,Ruby,187,0,20,9,0.9,9,6,6,4.3,1859,0.59938
facter,https://github.com/puppetlabs/facter,Ruby,125,0,31,3,13.1,19,144,131,1.3,599,0.59807
friendly_id,https://github.com/norman/friendly_id,Ruby,158,0,184,11,0.3,7,19,13,1.5,250,0.59796
pages-gem,https://github.com/github/pages-gem,Ruby,90,0,59,8,0.6,6,25,14,0.4,11647,0.59766
pry,https://github.com/pry/pry,Ruby,122,1,212,7,0.5,7,27,9,0.9,2012,0.59735
activerecord-import,https://github.com/zdennis/activerecord-import,Ruby,131,1,134,7,0.8,6,22,17,2.4,843,0.59728
parallel,https://github.com/grosser/parallel,Ruby,141,1,63,9,0.2,9,9,8,1.9,3835,0.59693
acts-as-taggable-on,https://github.com/mbleigh/acts-as-taggable-on,Ruby,159,0,201,11,0.1,4,20,5,1.3,629,0.5966
nanoc,https://github.com/nanoc/nanoc,Ruby,167,0,92,7,1.4,7,9,6,3.9,310,0.5966
rails_event_store,https://github.com/RailsEventStore/rails_event_store,Ruby,70,0,62,9,16.6,9,179,153,0.9,71,0.5965
conjur,https://github.com/cyberark/conjur,Ruby,55,0,61,4,11.6,16,209,171,1.1,378,0.59586
celluloid,https://github.com/celluloid/celluloid,Ruby,119,0,113,8,0.4,7,9,5,1.6,1260,0.59577
skylight-ruby,https://github.com/skylightio/skylight-ruby,Ruby,90,0,41,7,3.1,24,13,11,2.2,507,0.59387
samson,https://github.com/zendesk/samson,Ruby,80,0,191,5,4.2,184,46,41,0.7,154,0.5932
dry-validation,https://github.com/dry-rb/dry-validation,Ruby,66,0,69,12,6.0,9,13,8,4.1,77,0.59304
twilio-ruby,https://github.com/twilio/twilio-ruby,Ruby,137,0,99,6,1.9,29,9,6,1.1,600,0.59285
rubyzip,https://github.com/rubyzip/rubyzip,Ruby,231,4,116,10,1.4,3,10,2,1.0,13487,0.59109
kubeclient,https://github.com/abonas/kubeclient,Ruby,73,0,62,9,1.3,11,27,20,2.7,263,0.59108
Xcodeproj,https://github.com/CocoaPods/Xcodeproj,Ruby,111,0,144,12,1.3,6,27,12,1.2,218,0.59061
reek,https://github.com/troessner/reek,Ruby,150,0,98,9,1.7,13,22,17,1.4,152,0.59054
rdf,https://github.com/ruby-rdf/rdf,Ruby,160,0,42,12,1.9,8,8,7,2.1,659,0.5905
ifme,https://github.com/ifmeorg/ifme,Ruby,81,0,318,4,9.8,82,151,128,1.5,7,0.5901
byebug,https://github.com/deivid-rodriguez/byebug,Ruby,95,0,73,5,2.8,4,64,54,0.6,2855,0.58936
WikiEduDashboard,https://github.com/WikiEducationFoundation/WikiEduDashboard,Ruby,74,0,157,5,21.2,0,113,91,1.3,316,0.58901
joss,https://github.com/openjournals/joss,Ruby,60,0,70,11,2.9,0,53,34,2.4,1068,0.58851
otwarchive,https://github.com/otwcode/otwarchive,Ruby,156,0,147,2,4.5,167,86,65,0.4,671,0.58824
puppetlabs-postgresql,https://github.com/puppetlabs/puppetlabs-postgresql,Ruby,106,0,288,4,1.9,7,30,25,2.1,137,0.58795
net-ssh,https://github.com/net-ssh/net-ssh,Ruby,163,1,197,9,1.1,9,6,3,1.2,693,0.58721
newrelic-ruby-agent,https://github.com/newrelic/newrelic-ruby-agent,Ruby,163,0,224,2,20.8,2,89,61,1.6,181,0.58669
alchemy_cms,https://github.com/AlchemyCMS/alchemy_cms,Ruby,129,0,109,6,6.6,14,69,57,1.0,59,0.58605
aruba,https://github.com/cucumber/aruba,Ruby,132,0,87,8,3.5,9,30,25,0.4,441,0.58556
vcr,https://github.com/vcr/vcr,Ruby,132,0,155,12,0.7,1,15,8,1.8,482,0.58503
spring,https://github.com/rails/spring,Ruby,97,3,107,11,0.1,5,23,7,1.6,4080,0.58499
archivesspace,https://github.com/archivesspace/archivesspace,Ruby,103,1,85,7,11.5,6,157,134,0.6,209,0.58441
grape-swagger,https://github.com/ruby-grape/grape-swagger,Ruby,103,2,169,11,0.7,7,10,8,2.1,514,0.58436
ruby-jwt,https://github.com/jwt/ruby-jwt,Ruby,120,0,102,7,1.1,1,37,29,2.4,470,0.58361
rufus-scheduler,https://github.com/jmettraux/rufus-scheduler,Ruby,155,0,59,9,0.9,5,12,10,2.8,359,0.5831
formtastic,https://github.com/formtastic/formtastic,Ruby,155,0,228,9,0.9,6,11,5,2.9,47,0.58308
dpl,https://github.com/travis-ci/dpl,Ruby,92,1,215,13,1.8,1,31,19,1.1,649,0.58247
httparty,https://github.com/jnunemaker/httparty,Ruby,151,0,227,7,0.3,4,12,8,0.8,889,0.58245
sprockets,https://github.com/rails/sprockets,Ruby,153,6,209,8,0.4,10,16,5,0.8,4663,0.58231
puppetlabs-stdlib,https://github.com/puppetlabs/puppetlabs-stdlib,Ruby,120,0,257,5,1.0,8,28,25,0.8,288,0.58228
rails-i18n,https://github.com/svenfuchs/rails-i18n,Ruby,151,2,534,10,0.5,0,15,5,1.5,930,0.58178
capistrano,https://github.com/capistrano/capistrano,Ruby,144,4,265,7,0.4,5,9,6,2.0,1623,0.58066
markup,https://github.com/github/markup,Ruby,136,1,100,5,0.0,6,44,13,1.1,5329,0.58064
