name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,closed_issues_count,updated_issues_count,comment_frequency,dependents_count,criticality_score
ltp,https://github.com/linux-test-project/ltp,C,251,0,380,7,18.2,3,31,83,0.9,18209,0.71657
ovs,https://github.com/openvswitch/ovs,C,140,0,602,8,9.1,11,3,10,0.7,23283,0.71499
linux,https://github.com/beagleboard/linux,C,191,4,5000,10,0.4,113,3,12,1.3,4923,0.71074
CMake,https://github.com/Kitware/CMake,C,247,0,1274,5,48.3,33,2,2,1.0,1878,0.70805
mpv,https://github.com/mpv-player/mpv,C,241,0,516,2,18.5,3,266,406,3.3,3375,0.70713
AudioKit,https://github.com/AudioKit/AudioKit,C,84,0,162,7,40.7,8,81,88,3.5,1083,0.70503
linux,https://github.com/endlessm/linux,C,191,1,5000,10,698.6,16,11,12,0.1,14,0.70318
dpdk,https://github.com/DPDK/dpdk,C,95,0,988,5,102.9,19,3,3,1.0,1409,0.70152
fwupd,https://github.com/fwupd/fwupd,C,71,0,137,9,23.9,14,280,302,3.3,327,0.70124
iproute2,https://github.com/shemminger/iproute2,C,203,0,558,7,5.8,6,3,5,1.6,18954,0.70091
vlc,https://github.com/videolan/vlc,C,260,0,922,7,71.5,2,4,4,0.8,4936,0.7005
tmux,https://github.com/tmux/tmux,C,164,0,37,5,13.3,5,128,140,6.1,8645,0.69678
OpenSC,https://github.com/OpenSC/OpenSC,C,234,0,211,7,8.4,4,65,113,4.1,1429,0.69558
micropython,https://github.com/micropython/micropython,C,88,0,365,3,17.5,1,174,360,2.1,11537,0.69531
arduino-esp32,https://github.com/espressif/arduino-esp32,C,51,0,368,6,3.9,4,500,699,2.1,3731,0.69514
betaflight,https://github.com/betaflight/betaflight,C,108,0,485,1,10.2,15,227,303,3.2,3499,0.69481
lede,https://github.com/coolsnowwolf/lede,C,40,0,198,5,20.4,1,355,547,2.7,9791,0.69419
glib,https://github.com/GNOME/glib,C,274,0,1391,6,18.5,22,0,0,0,15456,0.69258
janus-gateway,https://github.com/meetecho/janus-gateway,C,84,0,231,6,10.3,7,143,162,3.6,1038,0.69213
rsyslog,https://github.com/rsyslog/rsyslog,C,196,1,361,4,4.7,29,29,97,2.5,4901,0.6915
illumos-gate,https://github.com/illumos/illumos-gate,C,189,0,1092,6,14.7,0,2,3,0.7,62483,0.69097
criu,https://github.com/checkpoint-restore/criu,C,113,0,147,7,6.1,7,102,166,2.9,2327,0.69087
rt-thread,https://github.com/RT-Thread/rt-thread,C,144,0,374,4,17.9,1,270,344,1.5,4332,0.69084
cockpit,https://github.com/cockpit-project/cockpit,C,87,0,159,3,32.6,40,365,503,2.5,662,0.69011
suricata,https://github.com/OISF/suricata,C,140,0,201,5,20.3,12,292,335,1.2,1148,0.68927
gpac,https://github.com/gpac/gpac,C,188,0,71,9,27.0,4,66,80,3.2,1666,0.68754
neomutt,https://github.com/neomutt/neomutt,C,274,0,390,3,20.0,13,88,133,3.0,556,0.68651
s2n,https://github.com/awslabs/s2n,C,79,0,153,8,12.7,22,167,251,2.4,351,0.68562
keepalived,https://github.com/acassen/keepalived,C,137,0,141,7,10.7,11,77,83,3.0,928,0.68486
radare2,https://github.com/radareorg/radare2,C,145,0,904,3,35.3,11,488,619,1.9,54,0.68345
wine,https://github.com/wine-mirror/wine,C,335,0,2133,2,162.6,24,2,2,1.5,281,0.68279
