name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
cloud-provider-openstack,https://github.com/kubernetes/cloud-provider-openstack,Go,"License(name=""Apache License 2.0"")",349,66,0,272,8,3.9,11,157,99,11.4,551,0.72413
Baystation12,https://github.com/Baystation12/Baystation12,DM,"License(name=""GNU Affero General Public License v3.0"")",351,127,0,714,0,42.3,2,638,553,0.7,246151,0.71633
cbioportal,https://github.com/cBioPortal/cbioportal,JavaScript,"License(name=""GNU Affero General Public License v3.0"")",355,117,0,153,6,8.2,53,517,337,1.0,2558,0.70176
cldr,https://github.com/unicode-org/cldr,Java,"License(name=""Other"")",340,226,0,76,5,9.8,14,150,130,2.5,3142,0.68028
OpenModelica,https://github.com/OpenModelica/OpenModelica,Modelica,"License(name=""Other"")",342,283,0,163,5,17.0,3,416,391,0.7,1949,0.66166
Koha,https://github.com/Koha-Community/Koha,Perl,"License(name=""GNU General Public License v3.0"")",352,245,0,541,7,65.7,21,1,1,1.0,250,0.65833
trezor-firmware,https://github.com/trezor/trezor-firmware,Python,,353,100,0,225,9,22.8,15,210,134,1.8,32,0.65661
yarp,https://github.com/robotology/yarp,C++,"License(name=""Other"")",351,181,0,91,9,15.0,5,98,67,2.0,532,0.6548
gazebo,https://github.com/osrf/gazebo,C++,"License(name=""Other"")",346,170,1,163,5,3.4,15,86,37,2.2,1523,0.64089
WoWAnalyzer,https://github.com/WoWAnalyzer/WoWAnalyzer,TypeScript,"License(name=""GNU Affero General Public License v3.0"")",351,48,0,217,2,61.9,37,421,368,0.5,399,0.63467
q-e,https://github.com/QEF/q-e,Fortran,"License(name=""GNU General Public License v2.0"")",337,219,2,204,8,21.9,2,2,2,1.5,8157,0.63403
tomee,https://github.com/apache/tomee,Java,"License(name=""Apache License 2.0"")",352,183,0,138,8,7.5,3,49,39,1.3,738,0.62922
appcenter,https://github.com/elementary/appcenter,Vala,"License(name=""GNU General Public License v3.0"")",345,68,0,364,5,10.8,9,69,36,1.0,344,0.62636
SemanticMediaWiki,https://github.com/SemanticMediaWiki/SemanticMediaWiki,PHP,"License(name=""Other"")",354,176,0,135,6,8.6,8,78,45,1.6,205,0.61926
bigtop,https://github.com/apache/bigtop,Java,"License(name=""Apache License 2.0"")",346,116,0,189,8,2.6,4,33,32,3.2,139,0.61811
fds,https://github.com/firemodels/fds,Fortran,"License(name=""Other"")",342,167,0,86,3,22.4,2,275,263,1.2,1044,0.61776
windows-driver-docs,https://github.com/MicrosoftDocs/windows-driver-docs,PowerShell,"License(name=""Other"")",347,64,0,392,4,34.6,0,215,201,1.3,276,0.61719
notes,https://github.com/nextcloud/notes,JavaScript,"License(name=""GNU Affero General Public License v3.0"")",341,107,0,56,6,5.6,18,66,44,1.5,628,0.61646
cluster-api-provider-aws,https://github.com/kubernetes-sigs/cluster-api-provider-aws,Go,"License(name=""Apache License 2.0"")",347,31,0,112,6,9.2,17,266,157,3.5,54,0.61145
KunstmaanBundlesCMS,https://github.com/Kunstmaan/KunstmaanBundlesCMS,PHP,"License(name=""MIT License"")",345,112,0,168,9,3.6,24,60,44,1.1,29,0.60124
reaction,https://github.com/artsy/reaction,TypeScript,"License(name=""MIT License"")",352,48,0,61,3,31.2,318,25,19,0.8,2074,0.60053
Thruk,https://github.com/sni/Thruk,Perl,"License(name=""Other"")",354,136,0,106,5,13.5,14,23,15,2.2,73,0.59614
rauc,https://github.com/rauc/rauc,C,"License(name=""GNU Lesser General Public License v2.1"")",338,70,0,63,6,6.8,4,70,42,1.6,862,0.59581
ApplicationInsights-dotnet,https://github.com/microsoft/ApplicationInsights-dotnet,C#,"License(name=""MIT License"")",350,68,0,87,3,4.6,17,105,41,2.2,462,0.59392
navitia,https://github.com/CanalTP/navitia,C++,"License(name=""GNU Affero General Public License v3.0"")",349,124,0,102,4,13.1,42,58,54,0.4,197,0.59347
OpenSpace,https://github.com/OpenSpace/OpenSpace,C++,"License(name=""MIT License"")",352,86,0,63,5,14.8,4,129,64,0.5,1010,0.59179
azure-iot-sdk-csharp,https://github.com/Azure/azure-iot-sdk-csharp,C#,"License(name=""Other"")",339,65,0,108,2,7.1,24,177,153,4.0,57,0.59102
grow,https://github.com/grow/grow,Python,"License(name=""MIT License"")",356,89,1,20,6,3.3,22,19,16,0.7,16502,0.59066
OpenGL-Registry,https://github.com/KhronosGroup/OpenGL-Registry,C,,343,50,0,111,7,2.3,0,24,19,3.4,1771,0.58906
DoctrineMongoDBBundle,https://github.com/doctrine/DoctrineMongoDBBundle,PHP,"License(name=""MIT License"")",337,128,2,164,10,1.3,5,16,12,3.1,209,0.58859
agda-stdlib,https://github.com/agda/agda-stdlib,Agda,"License(name=""Other"")",356,166,0,102,6,3.8,2,103,73,1.8,202,0.58823
gammu,https://github.com/gammu/gammu,C,"License(name=""GNU General Public License v2.0"")",357,168,0,242,3,1.3,18,23,15,1.8,238,0.58713
io-app,https://github.com/pagopa/io-app,TypeScript,"License(name=""Other"")",353,47,0,51,6,24.9,64,445,378,1.9,11,0.5867
qterminal,https://github.com/lxqt/qterminal,C++,"License(name=""GNU General Public License v2.0"")",351,126,0,143,3,2.0,3,77,63,1.7,737,0.58578
fiat-crypto,https://github.com/mit-plv/fiat-crypto,Coq,"License(name=""Other"")",337,65,0,22,5,14.3,11,25,14,2.5,924,0.58493
analytics-ios,https://github.com/segmentio/analytics-ios,Objective-C,"License(name=""MIT License"")",342,96,1,114,9,1.6,16,49,39,1.8,99,0.58487
url,https://github.com/whatwg/url,HTML,"License(name=""Creative Commons Attribution 4.0 International"")",339,102,0,34,8,0.8,0,24,9,2.3,10261,0.58413
bcftools,https://github.com/samtools/bcftools,C,"License(name=""Other"")",352,106,0,45,8,2.8,1,74,46,2.1,605,0.5826
eudev,https://github.com/gentoo/eudev,C,"License(name=""GNU General Public License v2.0"")",355,192,1,489,2,0.1,10,5,3,2.0,2456,0.57863
rdf,https://github.com/ruby-rdf/rdf,Ruby,"License(name=""The Unlicense"")",353,161,1,42,12,1.8,8,7,7,2.3,800,0.57821
cht-core,https://github.com/medic/cht-core,JavaScript,"License(name=""GNU Affero General Public License v3.0"")",348,112,0,65,4,3.9,9,264,134,1.7,106,0.57718
StaticArrays.jl,https://github.com/JuliaArrays/StaticArrays.jl,Julia,"License(name=""Other"")",348,57,0,83,12,1.5,6,46,29,2.6,99,0.577
magic-modules,https://github.com/GoogleCloudPlatform/magic-modules,HTML,"License(name=""Apache License 2.0"")",346,40,0,202,2,23.6,0,309,277,6.7,37,0.57664
puppetlabs-stdlib,https://github.com/puppetlabs/puppetlabs-stdlib,Ruby,"License(name=""Apache License 2.0"")",357,120,0,257,5,1.1,8,22,17,0.7,287,0.57648
FrackinUniverse,https://github.com/sayterdarkwynd/FrackinUniverse,Lua,"License(name=""Other"")",349,56,0,170,0,100.2,145,361,359,0.2,405,0.57544
deform,https://github.com/Pylons/deform,JavaScript,"License(name=""Other"")",352,132,0,100,6,4.2,7,30,21,2.2,65,0.57534
dcm2niix,https://github.com/rordenlab/dcm2niix,C++,"License(name=""Other"")",348,76,0,31,6,1.8,2,35,34,3.6,1149,0.57534
rose,https://github.com/rose-compiler/rose,C,"License(name=""Other"")",345,169,5,212,3,24.4,118,15,5,1.0,474,0.57517
besu,https://github.com/hyperledger/besu,Java,"License(name=""Apache License 2.0"")",356,28,0,95,3,14.4,30,401,311,0.6,156,0.57378
YAFNET,https://github.com/YAFNET/YAFNET,C#,"License(name=""Apache License 2.0"")",354,211,1,54,7,9.8,10,6,5,7.8,25,0.5732
synthetix,https://github.com/Synthetixio/synthetix,Solidity,"License(name=""MIT License"")",354,38,0,29,4,19.5,25,260,246,0.5,387,0.57295
browscap,https://github.com/browscap/browscap,PHP,"License(name=""MIT License"")",348,98,0,29,9,2.7,7,103,96,0.6,462,0.57271
FanFicFare,https://github.com/JimmXinu/FanFicFare,Python,"License(name=""Other"")",343,135,0,47,2,10.1,17,68,62,7.3,19,0.57243
opensmalltalk-vm,https://github.com/OpenSmalltalk/opensmalltalk-vm,C,"License(name=""Other"")",338,234,0,72,5,10.6,2,23,15,1.8,294,0.57218
cni-plugin,https://github.com/projectcalico/cni-plugin,Go,"License(name=""Apache License 2.0"")",347,67,0,94,5,2.4,33,69,60,1.1,115,0.57133
loopy,https://github.com/inducer/loopy,Python,"License(name=""MIT License"")",353,116,0,27,7,7.0,4,45,31,1.2,490,0.56997
cortex-m,https://github.com/rust-embedded/cortex-m,Rust,"License(name=""Other"")",356,53,0,47,9,2.8,1,52,42,3.2,308,0.56997
atrium,https://github.com/robstoll/atrium,Kotlin,"License(name=""European Union Public License 1.2"")",344,49,0,77,6,13.5,10,173,127,1.4,29,0.5674
commons-pool,https://github.com/apache/commons-pool,Java,"License(name=""Apache License 2.0"")",352,241,0,57,7,2.4,9,7,6,1.0,622,0.56636
mina-sshd,https://github.com/apache/mina-sshd,Java,"License(name=""Other"")",356,148,0,59,5,6.6,3,8,6,1.9,575,0.5657
