name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
Trilinos,https://github.com/trilinos/Trilinos,C++,"License(name=""Other"")",593,279,0,549,4,53.9,2,747,510,6.7,8058,0.7954
hugoDocs,https://github.com/gohugoio/hugoDocs,HTML,"License(name=""Other"")",602,92,0,1065,8,7.9,43,94,51,0.9,465,0.70378
plots2,https://github.com/publiclab/plots2,Ruby,"License(name=""GNU General Public License v3.0"")",644,101,0,773,4,14.3,1,487,378,4.7,322,0.6962
rubocop-rspec,https://github.com/rubocop-hq/rubocop-rspec,Ruby,"License(name=""MIT License"")",593,85,0,104,13,4.1,15,103,69,2.2,2163,0.68119
ec-cube,https://github.com/EC-CUBE/ec-cube,PHP,"License(name=""Other"")",584,168,0,236,5,5.5,5,171,85,1.3,6946,0.68074
mfem,https://github.com/mfem/mfem,C++,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",641,128,0,118,5,61.2,2,264,171,4.1,421,0.67913
pkg,https://github.com/freebsd/pkg,C,"License(name=""Other"")",612,126,0,179,5,6.8,17,130,101,1.2,2172,0.67242
sulu,https://github.com/sulu/sulu,PHP,"License(name=""MIT License"")",615,92,0,140,6,9.7,33,314,225,1.4,326,0.66069
Distributions.jl,https://github.com/JuliaStats/Distributions.jl,Julia,"License(name=""Other"")",619,100,0,172,15,2.4,29,89,47,2.6,166,0.65682
ojs,https://github.com/pkp/ojs,PHP,,594,207,0,206,5,38.1,5,129,106,1.2,340,0.6512
isis,https://github.com/apache/isis,Java,"License(name=""Other"")",594,201,0,52,10,50.5,8,104,99,0.5,703,0.65003
IfcOpenShell,https://github.com/IfcOpenShell/IfcOpenShell,C++,"License(name=""GNU Lesser General Public License v3.0"")",623,118,0,99,5,23.1,1,322,239,2.3,73,0.60451
elasticsuite,https://github.com/Smile-SA/elasticsuite,PHP,"License(name=""Open Software License 3.0"")",625,61,0,70,7,3.3,17,147,97,1.7,236,0.60382
crc,https://github.com/code-ready/crc,Go,"License(name=""Apache License 2.0"")",646,25,0,34,5,14.9,17,363,247,3.7,185,0.60292
keyring,https://github.com/jaraco/keyring,Python,"License(name=""MIT License"")",628,141,0,91,6,2.2,5,36,27,2.4,462,0.59975
vala,https://github.com/GNOME/vala,Vala,"License(name=""GNU Lesser General Public License v2.1"")",629,180,0,314,6,10.8,20,0,0,0,1210,0.59569
python-skyfield,https://github.com/skyfielders/python-skyfield,Python,"License(name=""MIT License"")",620,97,0,43,7,11.4,6,89,63,6.2,20,0.59479
freebsd-ports,https://github.com/freebsd/freebsd-ports,,"License(name=""Other"")",626,325,0,622,3,699.4,0,0,0,0,771,0.5942
hydrogen,https://github.com/hydrogen-music/hydrogen,C++,"License(name=""GNU General Public License v2.0"")",613,166,0,65,2,9.7,4,182,125,3.1,414,0.59372
sensu-go,https://github.com/sensu/sensu-go,Go,"License(name=""MIT License"")",600,48,0,46,5,7.2,26,300,211,1.2,225,0.59145
resolve,https://github.com/browserify/resolve,JavaScript,"License(name=""MIT License"")",615,117,2,58,8,1.1,12,14,10,3.9,743,0.59019
aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3,TypeScript,"License(name=""Apache License 2.0"")",587,46,0,37,4,12.4,46,775,649,1.7,80,0.58855
ledger-live-desktop,https://github.com/LedgerHQ/ledger-live-desktop,JavaScript,"License(name=""MIT License"")",614,48,0,45,2,20.0,26,298,236,3.4,85,0.58568
UnitsNet,https://github.com/angularsen/UnitsNet,C#,"License(name=""Other"")",618,91,0,133,4,3.5,42,61,37,3.2,29,0.58513
cordova-plugin-iosrtc,https://github.com/cordova-rtc/cordova-plugin-iosrtc,Swift,"License(name=""MIT License"")",625,69,0,34,8,4.4,14,67,42,5.9,27,0.58411
java-sdk,https://github.com/watson-developer-cloud/java-sdk,Java,"License(name=""Apache License 2.0"")",586,70,1,90,8,4.1,14,17,17,1.7,294,0.5801
beancount,https://github.com/beancount/beancount,Python,"License(name=""GNU General Public License v2.0"")",605,155,0,72,5,11.9,5,67,47,2.4,50,0.57791
rdoc,https://github.com/ruby/rdoc,Ruby,"License(name=""Other"")",635,218,0,90,8,0.7,4,8,2,0.6,3505,0.57688
ANTs,https://github.com/ANTsX/ANTs,C++,"License(name=""Other"")",645,142,0,60,12,1.4,3,40,25,4.8,34,0.575
wezterm,https://github.com/wez/wezterm,Rust,"License(name=""Other"")",641,38,0,30,2,19.7,19,142,116,2.8,368,0.5735
quanteda,https://github.com/quanteda/quanteda,R,"License(name=""GNU General Public License v3.0"")",636,103,1,36,11,10.3,5,60,35,1.4,203,0.57324
homebridge-hue,https://github.com/ebaauw/homebridge-hue,JavaScript,"License(name=""Apache License 2.0"")",600,52,0,18,5,8.0,35,145,144,5.6,27,0.5715
slimserver,https://github.com/Logitech/slimserver,Perl,"License(name=""Other"")",622,213,0,91,4,8.3,2,88,66,3.0,49,0.56812
DSharpPlus,https://github.com/DSharpPlus/DSharpPlus,C#,"License(name=""MIT License"")",590,66,0,73,4,2.9,37,97,85,2.4,46,0.5664
excoveralls,https://github.com/parroty/excoveralls,Elixir,"License(name=""MIT License"")",593,90,1,86,9,0.5,6,19,13,0.8,1319,0.56433
slang,https://github.com/shader-slang/slang,C++,"License(name=""MIT License"")",601,44,0,18,3,8.3,59,86,73,0.3,4346,0.56145
restheart,https://github.com/SoftInstigate/restheart,Java,"License(name=""Other"")",646,81,0,34,5,14.2,19,10,7,1.8,174,0.56125
tailwindcss-module,https://github.com/nuxt-community/tailwindcss-module,JavaScript,"License(name=""MIT License"")",613,22,0,19,9,2.6,20,78,66,2.3,299,0.56095
Chassis,https://github.com/Chassis/Chassis,PHP,"License(name=""GNU Lesser General Public License v3.0"")",596,105,1,45,4,1.2,4,24,12,0.6,18808,0.56064
forecastie,https://github.com/martykan/forecastie,Java,"License(name=""Other"")",610,62,0,78,3,4.8,19,32,21,2.5,131,0.55997
aws-parallelcluster,https://github.com/aws/aws-parallelcluster,Python,"License(name=""Apache License 2.0"")",590,82,0,74,2,11.4,9,260,227,1.5,74,0.55776
jest-preset-angular,https://github.com/thymikee/jest-preset-angular,TypeScript,"License(name=""MIT License"")",593,46,0,47,8,6.5,11,203,192,0.6,67,0.55653
di,https://github.com/nette/di,PHP,"License(name=""Other"")",626,183,0,52,8,1.0,5,15,6,0.8,760,0.5554
focus-trap,https://github.com/focus-trap/focus-trap,JavaScript,"License(name=""MIT License"")",603,66,0,33,9,3.7,9,100,99,1.7,41,0.55383
webauthn,https://github.com/w3c/webauthn,HTML,"License(name=""Other"")",635,60,0,58,6,3.1,1,88,60,1.6,379,0.5518
bugsnag-js,https://github.com/bugsnag/bugsnag-js,TypeScript,"License(name=""MIT License"")",616,97,0,28,1,23.2,25,172,146,1.4,153,0.54943
relx,https://github.com/erlware/relx,Erlang,"License(name=""Apache License 2.0"")",624,102,1,123,6,3.8,5,29,21,2.0,54,0.54732
bedtools2,https://github.com/arq5x/bedtools2,C,"License(name=""MIT License"")",640,144,0,85,7,0.8,2,24,11,1.6,195,0.54692
skift,https://github.com/skiftOS/skift,C++,"License(name=""Other"")",618,30,0,32,8,27.2,35,58,51,1.5,12,0.54464
Applozic-Android-SDK,https://github.com/AppLozic/Applozic-Android-SDK,Java,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",611,66,0,29,7,3.3,15,13,13,0.8,406,0.54259
vlc-ios,https://github.com/videolan/vlc-ios,Objective-C,"License(name=""Other"")",585,96,1,147,7,10.5,13,2,1,0.5,139,0.54217
salesforcedx-vscode,https://github.com/forcedotcom/salesforcedx-vscode,TypeScript,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",638,44,0,72,2,10.2,44,280,227,1.9,20,0.54198
electrumx,https://github.com/kyuupichan/electrumx,Python,"License(name=""MIT License"")",625,52,7,147,6,0.7,40,13,10,1.7,616,0.5399
contact-congress,https://github.com/unitedstates/contact-congress,Python,"License(name=""Other"")",593,92,0,194,8,3.6,0,34,34,0.0,238,0.53795
ora2pg,https://github.com/darold/ora2pg,Perl,"License(name=""GNU General Public License v3.0"")",608,108,0,49,6,2.1,1,64,33,1.9,143,0.53774
handlebars-rust,https://github.com/sunng87/handlebars-rust,Rust,"License(name=""MIT License"")",601,74,0,51,9,4.5,1,29,21,1.8,83,0.53741
apiman,https://github.com/apiman/apiman,Java,"License(name=""Apache License 2.0"")",591,90,1,51,5,1.6,1,50,28,2.8,455,0.5362
libmaxminddb,https://github.com/maxmind/libmaxminddb,C,"License(name=""Apache License 2.0"")",592,98,0,39,7,1.1,2,15,11,1.7,428,0.53604
markdown-mode,https://github.com/jrblevin/markdown-mode,Emacs Lisp,"License(name=""GNU General Public License v3.0"")",610,166,0,73,7,1.8,1,40,21,1.5,90,0.53523
rskj,https://github.com/rsksmart/rskj,Java,"License(name=""GNU Lesser General Public License v3.0"")",615,45,0,59,4,8.0,5,97,65,1.9,57,0.53397
reflex-platform,https://github.com/reflex-frp/reflex-platform,Nix,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",593,73,0,65,3,3.3,5,34,21,1.8,228,0.53318
quickfixj,https://github.com/quickfix-j/quickfixj,Java,"License(name=""Other"")",627,194,0,80,6,1.0,1,41,23,2.3,65,0.53224
4chan-x,https://github.com/ccd0/4chan-x,CoffeeScript,"License(name=""Other"")",633,131,0,96,3,1.9,102,101,28,1.0,25,0.53202
aiobotocore,https://github.com/aio-libs/aiobotocore,Python,"License(name=""Apache License 2.0"")",608,69,0,33,12,0.6,13,25,12,3.4,18,0.53027
CPU-X,https://github.com/X0rg/CPU-X,C,"License(name=""GNU General Public License v3.0"")",641,77,0,101,4,6.2,4,36,34,1.5,36,0.52906
Music-Player-GO,https://github.com/enricocid/Music-Player-GO,Kotlin,"License(name=""GNU General Public License v3.0"")",601,36,0,33,3,10.0,23,70,52,3.2,26,0.52842
OpenDDS,https://github.com/objectcomputing/OpenDDS,C++,"License(name=""Other"")",642,190,0,79,4,51.4,5,419,361,0.9,0,0.5267
p5.js-sound,https://github.com/processing/p5.js-sound,JavaScript,"License(name=""MIT License"")",592,80,0,56,8,1.4,1,46,14,1.9,88,0.52553
shlink,https://github.com/shlinkio/shlink,PHP,"License(name=""MIT License"")",641,58,0,13,6,10.1,20,145,112,1.3,26,0.52523
arcanist,https://github.com/phacility/arcanist,PHP,"License(name=""Apache License 2.0"")",622,122,0,178,7,4.2,0,2,2,1.0,124,0.52221
rustyline,https://github.com/kkawakam/rustyline,Rust,"License(name=""MIT License"")",636,71,1,36,8,2.4,7,43,29,1.2,106,0.52028
faas-cli,https://github.com/openfaas/faas-cli,Go,"License(name=""MIT License"")",613,46,1,64,9,1.3,25,29,19,1.3,30,0.51916
istanbuljs,https://github.com/istanbuljs/istanbuljs,JavaScript,,627,63,8,92,8,0.2,50,24,5,1.8,232,0.5191
route_translator,https://github.com/enriclluelles/route_translator,Ruby,"License(name=""MIT License"")",623,154,0,50,8,1.2,13,13,10,2.2,8,0.51813
fogproject,https://github.com/FOGProject/fogproject,PHP,"License(name=""GNU General Public License v3.0"")",627,158,4,57,5,2.1,3,11,6,4.4,159,0.51541
lmfit-py,https://github.com/lmfit/lmfit-py,Python,"License(name=""Other"")",596,115,1,64,5,3.2,1,24,21,4.4,28,0.51516
pyjanitor,https://github.com/ericmjl/pyjanitor,Python,"License(name=""MIT License"")",618,35,1,87,7,1.9,14,34,24,3.3,10,0.51475
freezed,https://github.com/rrousselGit/freezed,Dart,,621,13,0,33,8,5.4,59,73,48,2.1,14,0.51356
scaleway-cli,https://github.com/scaleway/scaleway-cli,Go,"License(name=""Apache License 2.0"")",645,71,0,18,4,9.3,11,283,202,0.3,71,0.5128
robot_localization,https://github.com/cra-ros-pkg/robot_localization,C++,"License(name=""Other"")",628,83,1,61,7,0.5,6,20,14,2.8,41,0.51276
mORMot,https://github.com/synopse/mORMot,Pascal,,594,82,0,61,3,13.5,0,20,18,1.4,234,0.51237
tangram-es,https://github.com/tangrams/tangram-es,C++,"License(name=""MIT License"")",625,78,1,35,7,0.9,1,37,25,2.2,274,0.5122
fhir-server,https://github.com/microsoft/fhir-server,C#,"License(name=""MIT License"")",611,29,0,61,1,7.9,39,308,237,1.7,34,0.51079
turtlecoin,https://github.com/turtlecoin/turtlecoin,C++,"License(name=""Other"")",616,38,1,77,3,2.5,5,4,4,2.5,747,0.50859
Hardcode-Tray,https://github.com/bilelmoussaoui/Hardcode-Tray,Python,"License(name=""Other"")",623,70,0,49,3,1.4,5,23,17,3.8,55,0.50819
android,https://github.com/meganz/android,Java,"License(name=""Other"")",623,86,1,22,4,30.8,19,10,4,1.5,46,0.5061
uwsgi-docs,https://github.com/unbit/uwsgi-docs,Python,"License(name=""MIT License"")",609,101,0,190,8,0.5,0,13,7,0.5,96,0.50508
osem,https://github.com/openSUSE/osem,Ruby,"License(name=""MIT License"")",641,101,3,142,7,0.5,0,31,17,0.9,408,0.50444
vimium-c,https://github.com/gdh1995/vimium-c,TypeScript,"License(name=""Other"")",614,81,0,9,1,17.3,21,53,43,3.9,56,0.504
Client,https://github.com/DigitalOceanPHP/Client,PHP,"License(name=""MIT License"")",588,81,0,46,10,3.1,12,15,14,1.3,4,0.50397
freemarker,https://github.com/apache/freemarker,Java,"License(name=""Apache License 2.0"")",625,132,1,30,7,0.8,4,2,1,4.5,93,0.50244
swift-models,https://github.com/tensorflow/swift-models,Jupyter Notebook,"License(name=""Apache License 2.0"")",603,34,0,64,4,6.2,0,62,50,1.3,195,0.50087
