index,name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
416,isort,https://github.com/PyCQA/isort,Python,3649,90,0,220,5,19.9,36,107,90,1.7,1837,0.69869
264,homestead,https://github.com/laravel/homestead,Shell,3617,82,0,251,7,2.0,41,89,85,2.3,2944,0.69643
736,Halide,https://github.com/halide/Halide,C++,4144,127,0,225,3,23.9,1,375,268,1.6,16166,0.69642
1243,cudf,https://github.com/rapidsai/cudf,C++,3588,46,0,197,3,180.2,3,811,585,2.3,1463,0.69348
278,twisted,https://github.com/twisted/twisted,Python,4131,237,0,217,7,20.6,6,90,63,1.5,2309,0.6931
1119,DoctrineBundle,https://github.com/doctrine/DoctrineBundle,PHP,3764,128,1,266,10,1.8,17,57,53,4.1,1096,0.692
1193,awesome,https://github.com/awesomeWM/awesome,Lua,3653,162,1,372,6,2.9,7,60,21,4.1,4364,0.68914
428,flowable-engine,https://github.com/flowable/flowable-engine,Java,3687,129,0,319,8,20.5,2,131,89,1.1,1749,0.68683
509,substrate,https://github.com/paritytech/substrate,Rust,3661,39,0,208,3,35.6,14,700,535,3.3,824,0.68669
96,css-loader,https://github.com/webpack-contrib/css-loader,JavaScript,3907,107,2,104,8,2.1,15,50,38,3.3,21778,0.68648
1140,swift-corelibs-foundation,https://github.com/apple/swift-corelibs-foundation,Swift,4092,98,0,422,4,7.0,212,79,64,4.1,352,0.6864
63,credo,https://github.com/rrrene/credo,Elixir,3694,64,0,168,8,8.3,21,48,46,2.0,2462,0.68517
435,MixedRealityToolkit-Unity,https://github.com/microsoft/MixedRealityToolkit-Unity,C#,4043,60,0,157,5,59.8,6,538,279,2.2,796,0.68479
763,supercollider,https://github.com/supercollider/supercollider,C++,3550,223,0,288,4,10.3,8,178,94,3.9,492,0.67954
774,debezium,https://github.com/debezium/debezium,Java,4145,63,0,268,6,25.6,18,185,170,2.1,252,0.6793
533,phoenix_live_view,https://github.com/phoenixframework/phoenix_live_view,Elixir,3605,28,0,203,9,20.1,17,154,139,2.6,412,0.67732
1213,Nuitka,https://github.com/Nuitka/Nuitka,Python,3690,126,0,87,7,14.4,20,151,101,2.9,380,0.6752
703,s2n,https://github.com/awslabs/s2n,C,3886,80,0,153,8,11.8,23,231,148,1.7,356,0.6746
1462,wp-cli,https://github.com/wp-cli/wp-cli,PHP,4294,114,1,320,11,2.9,6,58,35,1.2,5303,0.67453
515,rector,https://github.com/rectorphp/rector,PHP,3664,42,0,182,7,53.7,3,854,818,2.2,277,0.67431
1047,universal,https://github.com/angular/universal,TypeScript,3706,68,0,101,7,5.1,22,133,101,1.5,3832,0.67301
1411,mumble,https://github.com/mumble-voip/mumble,C++,3614,187,0,258,3,10.5,4,244,161,3.5,1049,0.67117
1438,firmware,https://github.com/raspberrypi/firmware,C,3929,108,0,18,7,1.9,7,81,24,4.6,43890,0.67113
38,phpseclib,https://github.com/phpseclib/phpseclib,PHP,4201,165,0,120,8,2.8,11,51,37,4.1,1022,0.67083
770,WindowsCommunityToolkit,https://github.com/windows-toolkit/WindowsCommunityToolkit,C#,3937,57,0,285,8,28.2,2,386,205,2.7,217,0.67073
1200,optuna,https://github.com/optuna/optuna,Python,3868,36,0,120,6,76.1,11,383,252,3.0,211,0.66906
765,haxe,https://github.com/HaxeFoundation/haxe,Haxe,3994,214,0,197,5,19.7,6,355,116,1.2,1006,0.66888
1182,buildah,https://github.com/containers/buildah,Go,3793,48,0,127,4,9.3,30,288,219,3.8,704,0.66755
