name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
jellyfin-web,https://github.com/jellyfin/jellyfin-web,JavaScript,"License(name=""GNU General Public License v2.0"")",469,103,0,814,1,81.7,13,471,368,1.8,6812,0.7407
math,https://github.com/stan-dev/math,C++,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",483,113,0,148,7,63.0,7,327,217,4.0,1255,0.73781
aports,https://github.com/alpinelinux/aports,Shell,,475,182,0,1080,4,424.2,25,1,1,1.0,1091,0.71523
simorgh,https://github.com/bbc/simorgh,JavaScript,"License(name=""Other"")",481,33,0,110,5,150.0,222,708,645,0.9,3514,0.71243
web-stories-wp,https://github.com/google/web-stories-wp,JavaScript,"License(name=""Apache License 2.0"")",467,65,0,83,8,117.1,18,1310,959,2.3,106,0.69824
pygments,https://github.com/pygments/pygments,Python,"License(name=""BSD 2-Clause ""Simplified"" License"")",483,174,0,581,7,5.2,6,159,103,1.9,875,0.69514
gophercloud,https://github.com/gophercloud/gophercloud,Go,"License(name=""Other"")",498,92,0,252,6,4.8,8,65,55,3.7,2699,0.69275
fieldtrip,https://github.com/fieldtrip/fieldtrip,MATLAB,"License(name=""GNU General Public License v2.0"")",459,137,0,183,6,16.5,14,91,74,3.3,549,0.69033
addons-frontend,https://github.com/mozilla/addons-frontend,JavaScript,"License(name=""Mozilla Public License 2.0"")",469,60,0,407,5,34.9,74,283,251,2.1,133,0.68765
NPSP,https://github.com/SalesforceFoundation/NPSP,Apex,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",478,89,0,132,6,85.8,456,329,261,0.9,304,0.6841
ostree,https://github.com/ostreedev/ostree,C,"License(name=""Other"")",467,113,0,128,7,5.5,8,68,47,3.5,1761,0.67737
product-apim,https://github.com/wso2/product-apim,Java,"License(name=""Other"")",478,80,0,179,5,12.2,19,992,640,0.4,1706,0.67659
integrations-core,https://github.com/DataDog/integrations-core,Python,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",469,63,0,421,2,45.7,529,627,569,2.3,148,0.6759
k8s-conformance,https://github.com/cncf/k8s-conformance,,"License(name=""Apache License 2.0"")",493,42,0,380,11,7.6,0,134,126,4.0,910,0.66854
naev,https://github.com/naev/naev,C,"License(name=""Other"")",470,169,0,136,5,78.0,7,391,340,1.5,185,0.66709
eslint-plugin-jsdoc,https://github.com/gajus/eslint-plugin-jsdoc,JavaScript,"License(name=""Other"")",482,65,0,70,6,6.2,108,39,31,2.4,3660,0.65692
rules_nodejs,https://github.com/bazelbuild/rules_nodejs,Starlark,"License(name=""Apache License 2.0"")",462,45,0,150,4,11.6,29,380,266,1.6,847,0.65454
libpqxx,https://github.com/jtv/libpqxx,C++,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",481,247,0,50,5,7.8,17,34,34,7.0,440,0.64932
govuk-frontend,https://github.com/alphagov/govuk-frontend,JavaScript,"License(name=""MIT License"")",466,53,0,67,7,7.4,10,150,94,1.3,3565,0.64358
pxt-microbit,https://github.com/microsoft/pxt-microbit,TypeScript,"License(name=""Other"")",483,59,0,95,2,12.1,251,425,181,1.9,1914,0.64151
commons-collections,https://github.com/apache/commons-collections,Java,"License(name=""Apache License 2.0"")",457,241,0,86,8,4.8,2,23,21,1.7,5292,0.63754
ACE_TAO,https://github.com/DOCGroup/ACE_TAO,C++,,455,295,0,252,8,14.3,5,167,148,0.4,191,0.63523
