name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
OsmAnd,https://github.com/osmandapp/OsmAnd,Java,2475,130,0,1172,5,133.4,0,777,489,1.2,17848,0.78199
titanium_mobile,https://github.com/appcelerator/titanium_mobile,Objective-C,2499,141,0,326,6,28.3,10,235,196,1.8,8204,0.75289
google-cloud-go,https://github.com/googleapis/google-cloud-go,Go,2424,81,0,230,5,19.2,88,599,489,5.3,822,0.74179
iD,https://github.com/openstreetmap/iD,JavaScript,2432,104,0,335,7,28.3,15,282,172,1.9,1161,0.7302
urllib3,https://github.com/urllib3/urllib3,Python,2523,135,0,267,8,3.5,7,172,130,2.5,9778,0.72979
fonttools,https://github.com/fonttools/fonttools,Python,2544,257,0,107,8,11.9,28,74,49,1.9,4167,0.70863
truffleruby,https://github.com/oracle/truffleruby,Ruby,2453,235,0,441,6,60.6,4,134,80,3.2,222,0.70236
gnuradio,https://github.com/gnuradio/gnuradio,C++,2537,176,0,364,4,11.5,4,441,308,2.3,1737,0.69743
element3,https://github.com/hug-sun/element3,JavaScript,2459,54,0,669,9,24.2,28,343,317,0.8,114,0.69497
sorbet,https://github.com/sorbet/sorbet,Ruby,2506,40,0,230,4,18.1,919,627,489,1.0,3869,0.69427
tarantool,https://github.com/tarantool/tarantool,Lua,2515,126,0,140,5,17.2,17,713,174,0.6,2622,0.68541
peps,https://github.com/python/peps,Python,2473,250,0,374,7,9.8,0,122,113,1.3,2279,0.66385
FOSRestBundle,https://github.com/FriendsOfSymfony/FOSRestBundle,PHP,2561,119,0,331,8,3.7,22,24,16,1.7,245,0.65059
ring-ui,https://github.com/JetBrains/ring-ui,JavaScript,2546,96,0,91,4,28.2,222,346,346,0.2,720,0.63891
copy-webpack-plugin,https://github.com/webpack-contrib/copy-webpack-plugin,JavaScript,2543,63,1,45,8,1.6,16,51,47,2.2,11391,0.63629
kubeadm,https://github.com/kubernetes/kubeadm,Go,2460,50,1,74,7,1.9,0,206,133,2.3,37679,0.62912
doctrine-bridge,https://github.com/symfony/doctrine-bridge,PHP,2487,119,0,201,13,1.7,52,1,0,1.0,1626,0.62426
orange3,https://github.com/biolab/orange3,Python,2558,150,0,103,2,16.1,4,159,101,2.0,1324,0.61944
google-api-go-client,https://github.com/googleapis/google-api-go-client,Go,2525,114,0,75,4,6.1,21,133,116,0.9,693,0.61481
open-event-server,https://github.com/fossasia/open-event-server,Python,2560,69,0,209,7,11.9,14,286,242,2.1,8,0.61027
LinuxGSM,https://github.com/GameServerManagers/LinuxGSM,Shell,2557,90,0,158,5,4.6,19,435,357,0.9,74,0.60864
data.table,https://github.com/Rdatatable/data.table,C,2575,165,0,97,8,3.6,4,307,90,1.8,127,0.60824
apollo,https://github.com/apollographql/apollo,JavaScript,2455,60,1,163,5,6.5,0,128,98,0.7,11115,0.60181
vispy,https://github.com/vispy/vispy,Python,2551,108,1,144,11,3.0,2,50,18,3.9,151,0.60143
panda3d,https://github.com/panda3d/panda3d,C++,2560,247,0,143,2,9.9,3,95,50,2.7,478,0.59912
koalas,https://github.com/databricks/koalas,Python,2568,25,0,47,7,11.8,15,175,144,2.3,188,0.59652
kubeapps,https://github.com/kubeapps/kubeapps,TypeScript,2432,39,0,66,8,9.6,17,197,158,1.6,66,0.59371
