name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
news,https://github.com/nextcloud/news,JavaScript,"License(name=""GNU Affero General Public License v3.0"")",494,107,0,144,7,7.0,35,226,194,1.9,258,0.6673
deck,https://github.com/nextcloud/deck,JavaScript,"License(name=""GNU Affero General Public License v3.0"")",638,57,0,76,8,20.0,23,387,229,1.4,450,0.66143
documentation,https://github.com/nextcloud/documentation,JavaScript,"License(name=""Other"")",257,101,0,477,5,32.9,2,740,707,0.4,280,0.65774
MyCrypto,https://github.com/MyCryptoHQ/MyCrypto,TypeScript,"License(name=""MIT License"")",861,51,0,117,7,12.9,27,237,222,2.3,151,0.65026
calendar,https://github.com/nextcloud/calendar,JavaScript,"License(name=""GNU Affero General Public License v3.0"")",600,66,0,79,9,13.6,8,250,151,1.6,517,0.64751
nest-cli,https://github.com/nestjs/nest-cli,TypeScript,"License(name=""MIT License"")",851,45,0,55,9,7.5,17,126,106,1.0,397,0.6086
swift,https://github.com/ncw/swift,Go,"License(name=""MIT License"")",264,100,0,44,9,0.2,7,6,6,3.0,551,0.57047
NUR,https://github.com/nix-community/NUR,Python,"License(name=""MIT License"")",448,36,0,149,3,57.0,0,37,33,1.2,498,0.55849
tester,https://github.com/nette/tester,PHP,"License(name=""Other"")",265,102,0,40,10,1.0,3,19,13,1.0,681,0.5558
docs,https://github.com/NativeScript/docs,CSS,"License(name=""Apache License 2.0"")",441,81,0,338,6,0.9,4,29,19,0.9,74,0.553
NetLogo,https://github.com/NetLogo/NetLogo,HTML,,757,119,0,52,7,4.2,1,45,23,1.6,149,0.54837
nextdns,https://github.com/nextdns/nextdns,Go,"License(name=""MIT License"")",1012,17,0,20,7,3.6,39,80,46,3.4,58,0.53476
mycroft-skills,https://github.com/MycroftAI/mycroft-skills,HTML,,615,54,0,90,6,3.7,0,58,50,2.4,94,0.53364
nbd,https://github.com/NetworkBlockDevice/nbd,C,"License(name=""GNU General Public License v2.0"")",267,247,0,66,2,0.1,10,7,4,1.4,1658,0.52769
nimble,https://github.com/nim-lang/nimble,Nim,"License(name=""Other"")",794,122,1,86,5,1.0,3,29,13,1.9,107,0.51932
gradle-lint-plugin,https://github.com/nebula-plugins/gradle-lint-plugin,Groovy,"License(name=""Apache License 2.0"")",464,65,0,21,8,2.5,25,11,5,2.5,26,0.51724
netbox-docker,https://github.com/netbox-community/netbox-docker,Python,"License(name=""Apache License 2.0"")",602,46,0,65,8,2.5,10,50,45,1.4,9,0.51415
betterttv,https://github.com/night/betterttv,JavaScript,"License(name=""Other"")",759,99,0,86,2,3.4,17,146,89,0.8,19,0.51126
passman,https://github.com/nextcloud/passman,JavaScript,"License(name=""GNU Affero General Public License v3.0"")",601,54,0,33,5,2.6,6,20,11,1.2,252,0.51103
NetTopologySuite,https://github.com/NetTopologySuite/NetTopologySuite,C#,"License(name=""Other"")",779,177,1,31,7,5.7,1,35,13,1.7,79,0.50686
n98-magerun2,https://github.com/netz98/n98-magerun2,PHP,"License(name=""Other"")",600,76,0,83,6,4.2,3,54,49,0.6,17,0.50371
cqrs,https://github.com/nestjs/cqrs,TypeScript,"License(name=""MIT License"")",423,46,0,18,10,5.8,2,76,66,0.6,50,0.49517
spectator,https://github.com/Netflix/spectator,Java,"License(name=""Apache License 2.0"")",599,80,1,40,3,2.9,23,11,10,0.4,273,0.48994
nengo,https://github.com/nengo/nengo,Python,"License(name=""Other"")",600,95,0,40,5,1.8,1,30,22,1.3,65,0.48821
netaddr,https://github.com/netaddr/netaddr,Python,"License(name=""Other"")",641,153,0,44,5,0.8,3,5,3,1.8,64,0.48595
neo4j-python-driver,https://github.com/neo4j/neo4j-python-driver,Python,"License(name=""Apache License 2.0"")",599,70,0,27,5,1.9,18,25,22,0.7,24,0.4796
emogrifier,https://github.com/MyIntervals/emogrifier,PHP,"License(name=""MIT License"")",764,87,1,38,10,1.4,2,79,47,0.7,18,0.47851
StereoPipeline,https://github.com/NeoGeographyToolkit/StereoPipeline,C++,"License(name=""Apache License 2.0"")",264,172,1,39,6,3.4,1,6,1,7.7,3,0.4705
gradle-dependency-lock-plugin,https://github.com/nebula-plugins/gradle-dependency-lock-plugin,Groovy,"License(name=""Apache License 2.0"")",248,85,0,19,8,1.4,19,6,5,0.7,7,0.45382
yauaa,https://github.com/nielsbasjes/yauaa,Java,"License(name=""Apache License 2.0"")",445,56,0,13,4,6.3,7,8,7,1.9,21,0.45215
awesome-ai-ml-dl,https://github.com/neomatrix369/awesome-ai-ml-dl,Jupyter Notebook,"License(name=""Other"")",810,26,0,19,9,5.4,1,4,4,1.2,49,0.44639
ngl,https://github.com/nglviewer/ngl,TypeScript,"License(name=""MIT License"")",410,85,0,26,5,1.0,19,53,30,1.5,0,0.44364
DotNetCorePlugins,https://github.com/natemcmaster/DotNetCorePlugins,C#,"License(name=""Apache License 2.0"")",793,44,0,15,7,0.5,4,38,33,2.0,5,0.43603
sped-nfe,https://github.com/nfephp-org/sped-nfe,PHP,"License(name=""Other"")",776,67,0,91,8,0.8,1,23,23,1.2,0,0.43596
tauthon,https://github.com/naftaliharris/tauthon,Python,"License(name=""Other"")",631,371,3,302,7,0.2,0,2,1,1.0,11,0.43295
gimme-aws-creds,https://github.com/Nike-Inc/gimme-aws-creds,Python,"License(name=""Apache License 2.0"")",486,49,2,62,8,1.0,6,21,8,0.7,6,0.43174
networkservicemesh,https://github.com/networkservicemesh/networkservicemesh,Go,"License(name=""Apache License 2.0"")",449,34,4,54,7,0.8,2,28,14,1.6,25,0.431
ViewInspector,https://github.com/nalexn/ViewInspector,Swift,"License(name=""MIT License"")",679,15,0,12,3,4.3,41,18,13,3.3,5,0.42669
Nexus-Mod-Manager,https://github.com/Nexus-Mods/Nexus-Mod-Manager,C#,"License(name=""GNU General Public License v2.0"")",628,113,3,42,5,0.5,7,28,6,1.1,7,0.42347
plaid,https://github.com/nickbutcher/plaid,Kotlin,"License(name=""Apache License 2.0"")",15883,64,4,67,9,0.1,2,9,0,0.9,35,0.42108
docker-protoc,https://github.com/namely/docker-protoc,Shell,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",426,63,0,52,8,0.6,1,20,12,0.6,2,0.41826
neosemantics,https://github.com/neo4j-labs/neosemantics,Java,"License(name=""Apache License 2.0"")",487,59,1,19,6,3.2,6,16,7,0.6,9,0.41599
php-ftp-client,https://github.com/Nicolab/php-ftp-client,PHP,"License(name=""MIT License"")",501,80,1,31,7,0.2,3,10,10,0.9,6,0.41166
haskell-vim,https://github.com/neovimhaskell/haskell-vim,Vim script,"License(name=""BSD 2-Clause ""Simplified"" License"")",603,81,0,21,8,0.0,0,7,6,0.7,25,0.41003
xhr,https://github.com/naugtur/xhr,JavaScript,"License(name=""MIT License"")",798,107,2,42,4,0.1,7,1,1,3.0,3,0.40277
content-loader,https://github.com/ngneat/content-loader,TypeScript,"License(name=""MIT License"")",640,35,1,16,10,0.2,4,18,15,1.3,3,0.39833
Raccine,https://github.com/Neo23x0/Raccine,C++,"License(name=""The Unlicense"")",590,4,1,11,5,7.5,38,20,17,0.9,21,0.39795
units,https://github.com/nholthaus/units,C++,"License(name=""MIT License"")",638,61,4,25,5,0.2,1,12,3,1.4,68,0.39551
Tree,https://github.com/nicmart/Tree,PHP,"License(name=""MIT License"")",474,95,2,12,7,1.1,2,7,3,1.1,12,0.39155
3DTilesRendererJS,https://github.com/NASA-AMMOS/3DTilesRendererJS,JavaScript,"License(name=""Apache License 2.0"")",296,12,0,4,2,10.8,13,37,26,1.2,24,0.38947
nezha,https://github.com/naiba/nezha,Go,,486,15,0,5,1,4.6,28,85,82,1.8,11,0.38921
podsync,https://github.com/mxpv/podsync,Go,"License(name=""MIT License"")",627,53,3,20,8,1.4,7,29,8,1.6,0,0.38698
hent-AI,https://github.com/natethegreate/hent-AI,Python,"License(name=""MIT License"")",831,40,6,49,8,4.6,7,5,2,0.4,2,0.37962
nacos-spring-project,https://github.com/nacos-group/nacos-spring-project,Java,"License(name=""Apache License 2.0"")",603,31,1,18,4,0.5,2,13,8,0.7,40,0.37734
functions,https://github.com/netlify/functions,HTML,,449,34,20,10,6,0.0,0,5,2,0.2,16923,0.37653
cen64,https://github.com/n64dev/cen64,C,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",574,95,1,28,4,0.4,0,29,13,1.6,2,0.37464
redis-cache,https://github.com/mybatis/redis-cache,Java,"License(name=""Other"")",376,72,0,14,3,0.3,0,11,9,0.8,26,0.36965
pycookiecheat,https://github.com/n8henrie/pycookiecheat,Python,"License(name=""MIT License"")",459,72,3,10,4,0.0,3,5,5,2.6,12,0.36628
react-native-safari-view,https://github.com/naoufal/react-native-safari-view,Objective-C,,473,68,1,26,7,0.0,1,4,2,0.2,13,0.36607
iCloudDocumentSync,https://github.com/nenosllc/iCloudDocumentSync,Objective-C,"License(name=""Other"")",1122,99,0,23,5,0.1,2,2,2,1.5,0,0.36396
guac-install,https://github.com/MysticRyuujin/guac-install,Shell,,493,54,0,20,6,0.5,0,23,21,1.2,0,0.36154
mybatis-dynamic-sql,https://github.com/mybatis/mybatis-dynamic-sql,Java,"License(name=""Other"")",592,51,0,14,1,6.2,2,39,39,1.1,2,0.3611
django-markdownx,https://github.com/neutronX/django-markdownx,Python,"License(name=""Other"")",648,76,11,26,5,0.0,7,11,0,0.8,20,0.35836
msl,https://github.com/Netflix/msl,C++,"License(name=""Apache License 2.0"")",641,81,4,25,4,0.2,8,1,0,0.0,51,0.35555
enclosure-picroft,https://github.com/MycroftAI/enclosure-picroft,Shell,"License(name=""GNU Lesser General Public License v3.0"")",639,49,3,19,6,0.1,0,7,3,2.0,10,0.35536
vim-markdown-toc,https://github.com/mzlogin/vim-markdown-toc,Vim script,"License(name=""MIT License"")",419,62,7,14,2,0.1,1,1,0,2.0,460,0.35471
