name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
node,https://github.com/nodejs/node,JavaScript,75769,145,0,3250,10,61.1,66,2066,1414,3.9,1037565,0.99338
kubernetes,https://github.com/kubernetes/kubernetes,Go,73277,80,0,3701,5,98.0,79,5005,2756,5.6,420337,0.98556
rust,https://github.com/rust-lang/rust,Rust,50822,129,0,3984,6,280.6,14,4767,2905,5.2,88259,0.98171
spark,https://github.com/apache/spark,Scala,28459,131,0,2379,4,54.1,13,1505,1309,11.6,398740,0.96562
tensorflow,https://github.com/tensorflow/tensorflow,C++,152182,63,0,3472,5,450.6,27,4127,2709,3.1,115841,0.9591
symfony,https://github.com/symfony/symfony,PHP,24460,134,0,3093,12,49.4,59,1882,1393,2.4,76804,0.93861
DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,TypeScript,31609,100,0,15916,6,129.0,0,2470,2024,5.7,223345,0.93496
git,https://github.com/git/git,C,35517,192,0,1916,4,45.0,50,68,47,13.1,34226381,0.93299
rails,https://github.com/rails/rails,Ruby,47340,196,0,5448,9,38.3,15,1285,951,1.7,108537,0.92477
ansible,https://github.com/ansible/ansible,Python,46357,108,0,6326,8,41.7,39,2847,1904,1.2,67208,0.92079
pytorch,https://github.com/pytorch/pytorch,C++,45245,109,0,2447,5,174.3,6,18402,14852,0.9,398502,0.91759
framework,https://github.com/laravel/framework,PHP,22902,97,0,3037,7,53.7,178,1146,1137,2.2,78449,0.91169
php-src,https://github.com/php/php-src,C,29177,265,0,1208,9,75.1,50,548,307,1.5,290717,0.90687
react-native,https://github.com/facebook/react-native,JavaScript,92575,73,0,2880,5,49.4,15,1496,541,2.5,217729,0.8973
homebrew-cask,https://github.com/Homebrew/homebrew-cask,Ruby,17780,108,0,8267,5,505.8,17,7342,7238,0.4,10870,0.8945
openssl,https://github.com/openssl/openssl,C,14518,268,0,705,4,48.0,15,989,602,4.7,408323,0.89094
linux,https://github.com/torvalds/linux,C,103272,114,0,5000,10,1484.2,72,2,0,0.0,55278595,0.88869
webpack,https://github.com/webpack/webpack,JavaScript,56942,107,0,716,8,32.3,59,998,771,3.5,111477,0.88864
gatsby,https://github.com/gatsbyjs/gatsby,JavaScript,48517,69,0,3896,3,80.8,5,2122,1788,1.6,982574,0.88809
julia,https://github.com/JuliaLang/julia,Julia,31479,138,0,1250,8,47.1,12,2022,1370,2.5,48739,0.88336
metasploit-framework,https://github.com/rapid7/metasploit-framework,Ruby,22697,114,0,1197,7,69.5,76,901,634,2.4,48277,0.8824
storybook,https://github.com/storybookjs/storybook,TypeScript,56858,62,0,1402,11,107.8,238,1536,827,2.5,14920,0.88071
servo,https://github.com/servo/servo,Rust,18911,108,0,1257,7,41.9,1,405,319,4.8,447530,0.87987
elasticsearch,https://github.com/elastic/elasticsearch,Java,53029,133,0,1712,3,125.6,21,8896,7628,0.9,93678,0.87911
react,https://github.com/facebook/react,JavaScript,161661,93,0,1615,6,20.1,6,926,585,3.3,333553,0.87879
ant-design,https://github.com/ant-design/ant-design,TypeScript,65911,69,0,1519,6,53.2,76,2488,1936,2.6,34898,0.87709
babel,https://github.com/babel/babel,JavaScript,38142,101,0,993,9,14.3,42,834,648,1.9,159200,0.8735
core,https://github.com/home-assistant/core,Python,39124,89,0,2532,9,164.0,209,5101,3609,3.5,390,0.87187
angular,https://github.com/angular/angular,TypeScript,69347,77,0,1441,4,55.9,95,2775,1935,2.2,69620,0.87075
three.js,https://github.com/mrdoob/three.js,JavaScript,66127,131,0,1720,8,60.0,12,783,583,2.5,23400,0.87063
cpython,https://github.com/python/cpython,Python,35427,370,0,1568,8,54.0,15,2034,1666,2.7,9173,0.86941
grafana,https://github.com/grafana/grafana,TypeScript,39072,97,0,1521,4,75.6,44,3725,2657,1.6,40821,0.86874
bitcoin,https://github.com/bitcoin/bitcoin,C++,47508,138,0,936,4,51.7,3,1297,839,3.9,320181,0.86864
material-ui,https://github.com/mui-org/material-ui,JavaScript,64073,78,0,2301,7,55.3,44,1792,1531,3.0,6002,0.86775
kibana,https://github.com/elastic/kibana,TypeScript,15407,97,0,636,5,181.8,21,10542,7745,2.2,19737,0.86696
bootstrap,https://github.com/twbs/bootstrap,JavaScript,146247,118,0,1374,7,23.0,8,1030,800,2.0,150276,0.86667
go,https://github.com/golang/go,Go,80549,590,0,1935,2,61.9,6,4573,2964,2.6,125349,0.86414
electron,https://github.com/electron/electron,C++,88517,95,0,1146,6,29.5,157,1976,1455,2.1,48992,0.86345
pandas,https://github.com/pandas-dev/pandas,Python,27924,139,0,2562,6,76.6,16,3025,2239,2.6,3287,0.8628
brew,https://github.com/Homebrew/brew,Ruby,25182,142,0,936,6,67.7,51,2303,2260,1.6,21241,0.85901
numpy,https://github.com/numpy/numpy,Python,15904,232,0,1231,9,40.8,15,1065,758,3.1,8964,0.85727
