name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
root,https://github.com/root-project/root,C++,1326,252,0,347,3,73.6,4,473,347,7.0,954,0.74372
desktop,https://github.com/nextcloud/desktop,C++,1343,157,0,251,9,21.1,15,472,235,3.0,521,0.73687
kubectl,https://github.com/kubernetes/kubectl,Go,1303,46,0,218,7,7.3,99,121,58,3.2,14865,0.7347
gentoo,https://github.com/gentoo/gentoo,Shell,1332,66,0,5000,10,2060.0,0,2160,1883,2.0,0,0.72546
vscode-go,https://github.com/golang/vscode-go,TypeScript,1318,65,0,281,8,12.1,38,391,263,2.2,314,0.70132
criu,https://github.com/checkpoint-restore/criu,C,1339,113,0,147,7,6.0,7,247,118,2.3,2638,0.68951
reactor-netty,https://github.com/reactor/reactor-netty,Java,1333,54,0,73,6,13.7,29,171,139,3.0,2741,0.68772
rsyslog,https://github.com/rsyslog/rsyslog,C,1337,197,1,361,4,3.7,29,83,18,2.4,5030,0.68323
react-native-website,https://github.com/facebook/react-native-website,JavaScript,1305,39,0,906,8,13.0,0,223,192,1.9,1609,0.68266
primefaces,https://github.com/primefaces/primefaces,JavaScript,1314,117,0,219,6,23.1,2,592,528,3.1,263,0.68256
ceph-ansible,https://github.com/ceph/ceph-ansible,Python,1293,84,1,285,2,9.4,61,298,252,2.8,1684,0.66828
DIM,https://github.com/DestinyItemManager/DIM,TypeScript,1317,71,0,148,4,52.1,85,488,437,1.1,291,0.66662
freeradius-server,https://github.com/FreeRADIUS/freeradius-server,C,1343,261,0,223,7,68.5,1,199,180,0.7,444,0.65812
Essentials,https://github.com/xamarin/Essentials,C#,1306,35,0,82,8,7.6,16,298,191,2.2,1101,0.65563
boinc,https://github.com/BOINC/boinc,PHP,1292,228,0,178,3,19.7,1,151,83,3.1,1490,0.64913
nextflow,https://github.com/nextflow-io/nextflow,Groovy,1292,95,0,89,8,6.8,20,214,102,2.6,124,0.64342
wet-boew,https://github.com/wet-boew/wet-boew,Handlebars,1307,106,1,105,10,1.5,8,84,33,2.9,1272,0.6399
sagemaker-python-sdk,https://github.com/aws/sagemaker-python-sdk,Python,1290,39,0,163,3,14.8,130,234,161,5.1,96,0.63682
valhalla,https://github.com/valhalla/valhalla,C++,1331,75,0,121,4,7.4,11,164,112,1.9,999,0.63546
pygit2,https://github.com/libgit2/pygit2,C,1305,124,0,179,11,2.9,6,41,25,1.1,432,0.62531
netlink,https://github.com/vishvananda/netlink,Go,1337,78,0,172,11,1.0,1,43,23,1.2,4252,0.62273
RawTherapee,https://github.com/Beep6581/RawTherapee,C++,1316,134,0,134,2,19.4,1,141,81,4.3,486,0.61716
OpenShadingLanguage,https://github.com/imageworks/OpenShadingLanguage,C++,1344,150,0,64,4,4.7,12,58,53,2.3,866,0.61502
phoronix-test-suite,https://github.com/phoronix-test-suite/phoronix-test-suite,PHP,1297,156,0,70,4,15.3,21,29,20,1.6,534,0.61477
apps-android-wikipedia,https://github.com/wikimedia/apps-android-wikipedia,Java,1300,88,0,95,7,32.1,1,226,214,0.4,555,0.61236
mongodb-memory-server,https://github.com/nodkz/mongodb-memory-server,TypeScript,1303,45,0,76,7,3.2,52,52,34,2.7,315,0.6099
Unigram,https://github.com/UnigramDev/Unigram,C#,1300,57,0,35,6,24.7,9,210,98,1.0,771,0.60778
kamailio,https://github.com/kamailio/kamailio,C,1301,236,0,405,6,34.3,11,121,108,2.9,0,0.60741
html-proofer,https://github.com/gjtorikian/html-proofer,Ruby,1291,96,0,67,11,1.7,2,38,31,1.6,1806,0.60721
desktop,https://github.com/mattermost/desktop,JavaScript,1329,64,0,83,4,2.1,31,79,49,2.4,641,0.60698
