name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
spec,https://github.com/ruby/spec,Ruby,"License(name=""MIT License"")",437,155,0,513,9,14.0,1,26,20,2.1,5669,0.70832
product-is,https://github.com/wso2/product-is,Java,"License(name=""Other"")",424,82,0,169,4,15.6,57,1845,1087,0.6,1298,0.68463
bnd,https://github.com/bndtools/bnd,Java,"License(name=""Other"")",439,165,0,110,9,14.1,8,182,149,1.7,858,0.68003
igniteui-angular,https://github.com/IgniteUI/igniteui-angular,TypeScript,"License(name=""Other"")",424,60,0,120,2,61.4,175,586,453,0.8,2840,0.67025
libmesh,https://github.com/libMesh/libmesh,C,"License(name=""GNU Lesser General Public License v2.1"")",447,220,0,105,8,25.3,3,128,106,1.8,891,0.66603
ucx,https://github.com/openucx/ucx,C,"License(name=""Other"")",444,76,0,93,6,27.8,16,465,379,3.6,89,0.66423
plugins,https://github.com/opnsense/plugins,PHP,"License(name=""BSD 2-Clause ""Simplified"" License"")",441,67,0,149,6,7.7,25,211,123,2.3,474,0.66385
wine,https://github.com/ValveSoftware/wine,C,"License(name=""Other"")",412,336,0,2119,2,101.2,24,8,1,2.4,36,0.65601
pentaho-platform,https://github.com/pentaho/pentaho-platform,Java,"License(name=""Other"")",418,114,0,233,6,1.6,33,35,31,2.4,670,0.65499
ola,https://github.com/OpenLightingProject/ola,C++,"License(name=""Other"")",417,188,0,205,4,7.3,1,61,30,3.6,2391,0.64867
rubocop-rails,https://github.com/rubocop-hq/rubocop-rails,Ruby,"License(name=""MIT License"")",420,32,0,167,12,3.6,11,55,37,1.2,2042,0.63836
legion,https://github.com/StanfordLegion/legion,C++,"License(name=""Apache License 2.0"")",432,100,1,68,7,21.9,3,129,30,2.2,2000,0.63625
cardano-node,https://github.com/input-output-hk/cardano-node,Haskell,"License(name=""Apache License 2.0"")",433,20,0,61,5,36.0,22,367,271,2.6,392,0.63504
MMseqs2,https://github.com/soedinglab/MMseqs2,C++,"License(name=""GNU General Public License v3.0"")",423,99,0,76,8,8.5,2,39,17,3.8,490,0.62182
subversion,https://github.com/apache/subversion,C,"License(name=""Apache License 2.0"")",413,254,0,185,3,3.6,14,2,1,2.0,5093,0.61639
jackson-dataformat-xml,https://github.com/FasterXML/jackson-dataformat-xml,Java,"License(name=""Apache License 2.0"")",438,122,0,32,10,4.2,10,73,33,1.5,798,0.61555
patternfly-react,https://github.com/patternfly/patternfly-react,TypeScript,"License(name=""MIT License"")",428,47,0,121,1,19.9,4131,476,316,1.9,558,0.61325
resource-agents,https://github.com/ClusterLabs/resource-agents,Shell,"License(name=""Other"")",424,240,0,413,4,2.7,7,52,44,1.4,235,0.6113
libunwind,https://github.com/libunwind/libunwind,C,"License(name=""MIT License"")",421,230,1,151,6,1.2,3,17,8,1.1,13228,0.60985
rviz,https://github.com/ros-visualization/rviz,C++,,439,145,1,142,9,0.8,16,44,32,2.7,169,0.60933
syndesis,https://github.com/syndesisio/syndesis,Java,"License(name=""Apache License 2.0"")",420,56,0,112,2,23.4,41,190,158,1.0,502,0.60913
sofa,https://github.com/sofa-framework/sofa,C++,,413,184,0,273,4,21.7,2,316,255,0.9,80,0.60855
cbsd,https://github.com/cbsd/cbsd,C,"License(name=""BSD 2-Clause ""Simplified"" License"")",439,112,0,34,4,7.3,18,31,26,2.8,724,0.60318
rollbar-gem,https://github.com/rollbar/rollbar-gem,Ruby,"License(name=""MIT License"")",412,102,1,157,9,1.1,11,24,14,0.9,1087,0.60004
SimpleITK,https://github.com/SimpleITK/SimpleITK,SWIG,"License(name=""Apache License 2.0"")",442,128,0,43,6,6.9,7,62,51,2.2,252,0.59444
fdroidclient,https://github.com/f-droid/fdroidclient,Java,"License(name=""GNU General Public License v3.0"")",442,125,0,289,6,8.3,23,0,0,0,1294,0.59294
SonataMediaBundle,https://github.com/sonata-project/SonataMediaBundle,PHP,"License(name=""MIT License"")",411,124,0,254,12,3.2,7,68,57,0.7,27,0.58947
ruby-pg,https://github.com/ged/ruby-pg,C,"License(name=""Other"")",434,159,0,46,10,0.6,3,13,3,1.8,2942,0.58911
ags,https://github.com/adventuregamestudio/ags,C++,"License(name=""Other"")",437,122,0,42,3,3.8,6,84,42,5.5,269,0.58747
dyninst,https://github.com/dyninst/dyninst,C,"License(name=""Other"")",435,337,1,277,6,1.8,2,68,28,2.2,220,0.58737
fossology,https://github.com/fossology/fossology,PHP,"License(name=""GNU General Public License v2.0"")",423,159,0,88,4,3.2,7,101,65,1.2,358,0.58199
igv,https://github.com/igvteam/igv,Java,"License(name=""MIT License"")",410,124,0,53,5,4.0,18,69,37,2.7,64,0.58054
commcare-hq,https://github.com/dimagi/commcare-hq,Python,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",424,144,0,192,2,181.6,1232,395,322,1.1,0,0.57712
webdrivers,https://github.com/titusfortner/webdrivers,Ruby,"License(name=""MIT License"")",449,42,0,25,11,1.0,5,18,17,4.1,995,0.57692
wp-erp,https://github.com/wp-erp/wp-erp,PHP,,433,74,1,47,5,6.9,20,102,83,0.4,992,0.57392
cortex,https://github.com/ImageEngine/cortex,C++,"License(name=""Other"")",419,176,0,56,6,6.5,22,34,33,1.9,33,0.5724
batteries-included,https://github.com/ocaml-batteries-team/batteries-included,OCaml,"License(name=""Other"")",416,155,0,118,7,1.6,3,71,49,2.4,51,0.57204
sentry-elixir,https://github.com/getsentry/sentry-elixir,Elixir,"License(name=""MIT License"")",420,78,0,73,9,2.0,10,22,18,2.3,73,0.57039
spring-data-jdbc,https://github.com/spring-projects/spring-data-jdbc,Java,,412,48,0,43,7,4.6,18,137,90,5.4,8,0.56727
Images.jl,https://github.com/JuliaImages/Images.jl,Julia,"License(name=""Other"")",424,99,0,85,11,0.8,12,29,24,1.1,88,0.56714
pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,Python,"License(name=""Other"")",436,75,0,22,8,7.2,10,75,65,1.8,101,0.56475
ruqqus,https://github.com/ruqqus/ruqqus,Python,"License(name=""Mozilla Public License 2.0"")",412,19,0,47,2,111.1,9,200,146,0.8,495,0.56311
lldpd,https://github.com/lldpd/lldpd,C,"License(name=""Other"")",419,149,0,56,8,1.5,3,20,16,4.3,59,0.56226
seahub,https://github.com/haiwen/seahub,Python,"License(name=""Other"")",426,120,0,90,3,6.2,27,110,91,0.1,160,0.56163
jmeter-plugins,https://github.com/undera/jmeter-plugins,Java,"License(name=""Apache License 2.0"")",440,141,0,87,7,1.8,1,10,10,2.3,340,0.56161
ClassicPress,https://github.com/ClassicPress/ClassicPress,PHP,,435,217,0,127,10,1.7,4,32,7,1.6,40,0.56061
agent,https://github.com/UltimateHackingKeyboard/agent,TypeScript,"License(name=""Other"")",450,61,0,25,9,5.0,16,61,54,2.2,41,0.55785
esapi-java-legacy,https://github.com/ESAPI/esapi-java-legacy,Java,"License(name=""Other"")",421,158,0,55,9,1.6,3,19,14,4.0,34,0.55427
gap,https://github.com/gap-system/gap,GAP,"License(name=""Other"")",428,293,0,55,5,6.1,1,91,54,1.5,186,0.55409
yagpdb,https://github.com/jonas747/yagpdb,Go,"License(name=""MIT License"")",420,55,0,34,6,9.0,5,69,23,1.0,417,0.55255
symmetric-ds,https://github.com/JumpMind/symmetric-ds,Java,,438,162,0,58,5,8.2,5,20,19,0.1,737,0.55214
aem-core-wcm-components,https://github.com/adobe/aem-core-wcm-components,Java,"License(name=""Other"")",448,63,0,72,6,8.5,10,203,106,1.5,12,0.55102
