name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
tgstation,https://github.com/tgstation/tgstation,DM,1092,127,0,1230,3,168.5,1,2325,1917,3.0,18954,0.82319
ompi,https://github.com/open-mpi/ompi,C,1170,209,0,305,9,9.8,6,377,256,3.4,25906,0.78838
manageiq,https://github.com/ManageIQ/manageiq,Ruby,1079,80,0,333,3,25.4,13,371,280,2.9,51365,0.77125
web,https://github.com/gitcoinco/web,JavaScript,1054,43,0,237,8,65.4,38,1134,893,1.2,3939,0.75949
void-packages,https://github.com/void-linux/void-packages,Shell,1175,150,0,1129,1,418.0,0,3041,2326,1.2,7313,0.7506
util-linux,https://github.com/karelzak/util-linux,C,1187,343,0,756,5,18.8,6,81,64,3.1,5120,0.74655
chapel,https://github.com/chapel-lang/chapel,Chapel,1201,143,0,204,5,95.1,4,514,326,2.3,4856,0.74504
cabal,https://github.com/haskell/cabal,Haskell,1196,204,0,370,7,7.1,11,199,101,1.4,7899,0.72968
cacti,https://github.com/Cacti/cacti,PHP,1062,227,0,122,7,16.5,8,385,324,2.5,5532,0.72933
haiku,https://github.com/haiku/haiku,C++,1099,225,0,338,4,27.0,0,1,1,4.0,523425,0.72746
consul,https://github.com/consul/consul,Ruby,1070,67,0,125,7,11.2,2,149,101,0.7,559714,0.7257
distributed,https://github.com/dask/distributed,Python,1131,65,0,226,6,9.3,26,345,210,3.2,1603,0.71722
cli,https://github.com/netlify/cli,JavaScript,1076,76,0,96,6,14.2,88,397,329,1.0,6868,0.70279
fwupd,https://github.com/fwupd/fwupd,C,1099,72,0,141,9,24.8,15,314,301,2.9,333,0.70108
nvda,https://github.com/nvaccess/nvda,Python,1072,176,0,160,3,39.8,20,418,187,2.8,765,0.69712
ccache,https://github.com/ccache/ccache,C++,1072,229,0,123,6,16.2,7,159,133,1.9,4523,0.69682
oiio,https://github.com/OpenImageIO/oiio,C++,1181,155,0,191,7,6.8,22,91,77,2.3,756,0.6867
core,https://github.com/LibreOffice/core,,1077,134,0,2181,4,243.7,91,0,0,0,1017,0.68566
rspec-core,https://github.com/rspec/rspec-core,Ruby,1061,141,0,350,6,2.2,13,90,77,1.6,2650,0.68506
forkcms,https://github.com/forkcms/forkcms,PHP,1104,149,0,155,10,7.9,7,108,76,1.3,2188,0.68479
start-here-guidelines,https://github.com/zero-to-mastery/start-here-guidelines,,1157,37,0,8612,3,109.6,0,1195,1184,2.6,25,0.68328
akka-http,https://github.com/akka/akka-http,Scala,1139,145,0,324,6,9.9,8,262,186,2.8,238,0.68225
neutron,https://github.com/openstack/neutron,Python,1190,122,0,1164,3,12.4,22,0,0,0,70531,0.68104
solana,https://github.com/solana-labs/solana,Rust,1134,36,0,109,3,77.8,148,1931,1710,1.3,779,0.67805
dpdk,https://github.com/DPDK/dpdk,C,1145,96,1,998,5,105.2,19,1,1,1.0,1415,0.67592
addons,https://github.com/tensorflow/addons,Python,1162,26,0,145,8,15.8,13,207,149,3.0,906,0.67387
package_control_channel,https://github.com/wbond/package_control_channel,Python,1189,115,0,4359,4,4.7,0,120,99,2.2,296,0.67309
geotools,https://github.com/geotools/geotools,Java,1078,121,0,318,7,9.3,15,199,185,0.8,369,0.67179
polyfill,https://github.com/symfony/polyfill,PHP,1145,95,0,104,13,2.0,4,50,48,2.5,6983,0.67152
go-gitlab,https://github.com/xanzy/go-gitlab,Go,1201,71,0,338,10,7.4,16,79,67,0.9,568,0.6707
carbondata,https://github.com/apache/carbondata,Scala,1128,59,2,213,7,7.0,7,128,96,14.9,119,0.66465
platform,https://github.com/shopware/platform,PHP,1168,33,0,286,2,58.1,22,320,207,2.3,593,0.66408
mattermost-webapp,https://github.com/mattermost/mattermost-webapp,JavaScript,1068,59,0,462,2,33.8,3,652,551,4.2,210,0.66337
rspec-expectations,https://github.com/rspec/rspec-expectations,Ruby,1101,141,0,169,7,1.8,10,63,60,2.0,2042,0.66228
