name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
website,https://github.com/kubernetes/website,HTML,2326,60,0,3620,6,106.6,3,2204,1575,4.9,2283,0.8451
azure-powershell,https://github.com/Azure/azure-powershell,C#,2361,77,0,1369,4,32.0,55,1083,753,2.3,16590,0.82264
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android,Kotlin,2415,138,0,178,3,155.7,149,798,599,2.6,19310,0.79549
gdal,https://github.com/OSGeo/gdal,C++,2280,271,0,340,10,31.7,10,353,302,2.2,3236,0.77286
dmd,https://github.com/dlang/dmd,D,2349,141,0,265,5,28.4,23,353,291,3.5,2759,0.75972
google-cloud-go,https://github.com/googleapis/google-cloud-go,Go,2424,81,0,230,5,19.3,88,597,490,5.4,822,0.74253
maven,https://github.com/apache/maven,Java,2390,211,0,178,11,3.6,3,60,42,2.9,42188,0.7324
cgal,https://github.com/CGAL/cgal,C++,2291,310,0,242,5,57.5,12,651,418,1.8,1279,0.7308
openui5,https://github.com/SAP/openui5,JavaScript,2325,86,0,457,2,112.5,98,150,106,2.2,2094,0.72551
ESPEasy,https://github.com/letscontrolit/ESPEasy,HTML,2353,69,0,159,5,23.0,25,205,131,5.8,671,0.71319
liquibase,https://github.com/liquibase/liquibase,Java,2403,143,0,507,4,15.1,17,324,104,1.2,2177,0.711
nifi,https://github.com/apache/nifi,Java,2403,74,0,441,4,11.3,16,235,157,1.6,1739,0.69349
google-api-ruby-client,https://github.com/googleapis/google-api-ruby-client,Ruby,2360,127,0,131,8,22.9,8,1472,1454,0.1,1769,0.69242
dom-testing-library,https://github.com/testing-library/dom-testing-library,JavaScript,2421,34,0,150,9,4.4,109,101,70,4.0,942,0.67881
rav1e,https://github.com/xiph/rav1e,Assembly,2333,40,0,89,8,11.9,40,86,72,1.9,2407,0.67085
stellarium,https://github.com/Stellarium/stellarium,C++,2389,225,0,180,6,18.8,5,288,178,3.2,201,0.67058
dbt,https://github.com/fishtown-analytics/dbt,Python,2335,59,0,128,7,18.7,23,261,163,1.8,387,0.66845
calico,https://github.com/projectcalico/calico,HTML,2284,54,0,178,5,11.2,30,349,271,1.7,439,0.66139
QuantLib,https://github.com/lballabio/QuantLib,C++,2353,246,0,164,6,9.8,3,92,65,2.3,1212,0.65766
openthread,https://github.com/openthread/openthread,C++,2324,58,0,137,8,26.6,1,523,460,2.6,334,0.65702
yt-dlc,https://github.com/blackjack4494/yt-dlc,Python,2315,152,1,943,4,11.9,6,296,174,4.1,23,0.64823
zammad,https://github.com/zammad/zammad,Ruby,2408,107,0,87,7,9.3,7,252,156,1.2,942,0.6468
Pester,https://github.com/pester/Pester,PowerShell,2408,122,1,134,9,3.6,26,165,93,2.5,163,0.64522
kiali,https://github.com/kiali/kiali,Go,2298,36,0,69,5,8.8,64,345,267,2.6,748,0.64357
webpack-merge,https://github.com/survivejs/webpack-merge,TypeScript,2293,68,1,31,9,2.9,16,25,24,3.9,7945,0.64251
azure-pipelines-tasks,https://github.com/microsoft/azure-pipelines-tasks,TypeScript,2330,76,0,568,3,11.2,1,1049,746,1.6,319,0.6425
SuiteCRM,https://github.com/salesagility/SuiteCRM,PHP,2374,89,2,231,5,4.3,15,421,75,0.7,3809,0.64171
androidx,https://github.com/androidx/androidx,Java,2388,149,0,804,3,140.6,0,35,32,1.7,205,0.64142
cms,https://github.com/craftcms/cms,PHP,2300,119,0,213,9,68.9,81,529,347,2.0,0,0.64015
kendo-ui-core,https://github.com/telerik/kendo-ui-core,JavaScript,2327,85,0,294,2,5.1,8,349,184,0.6,5136,0.63994
spring-data-elasticsearch,https://github.com/spring-projects/spring-data-elasticsearch,Java,2349,97,0,105,8,5.8,20,228,197,5.9,10,0.63509
firebase-ios-sdk,https://github.com/firebase/firebase-ios-sdk,Objective-C,2349,45,0,137,2,23.2,27,961,806,2.0,226,0.63458
Sequel-Ace,https://github.com/Sequel-Ace/Sequel-Ace,Objective-C,2374,156,0,73,6,24.3,88,455,398,2.5,17,0.63449
espurna,https://github.com/xoseperez/espurna,C++,2423,57,0,157,4,5.0,13,68,38,3.6,740,0.63382
plug,https://github.com/elixir-plug/plug,Elixir,2284,87,1,273,6,2.0,13,12,12,3.9,788,0.63165
money,https://github.com/RubyMoney/money,Ruby,2352,148,0,277,10,0.4,7,10,5,2.1,799,0.6304
glow,https://github.com/pytorch/glow,C++,2366,43,0,212,2,21.1,0,300,238,2.8,3737,0.62894
