name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
Waterfox,https://github.com/MrAlex94/Waterfox,,1609,76,0,5000,10,483.2,30,178,96,2.4,942,0.86576
frappe,https://github.com/frappe/frappe,Python,2019,117,0,419,6,72.6,43,618,493,1.2,38421,0.82136
u-boot,https://github.com/u-boot/u-boot,C,1403,250,0,2738,8,127.8,19,8,4,0.1,74501,0.8118
gnucash,https://github.com/Gnucash/gnucash,C,1816,282,0,240,4,27.5,13,87,68,3.6,137492,0.78934
tasks,https://github.com/tasks/tasks,Kotlin,1405,130,0,141,4,37.8,50,261,147,1.1,345022,0.78773
azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,C#,2074,111,0,995,2,61.6,877,2478,1796,1.7,2933,0.78067
juju,https://github.com/juju/juju,Go,1814,114,0,212,7,62.5,12,414,404,1.7,11853,0.77644
pimcore,https://github.com/pimcore/pimcore,PHP,1994,119,0,366,9,34.7,30,660,506,1.3,1780,0.77067
frr,https://github.com/FRRouting/frr,C,1627,220,0,402,5,50.1,5,709,537,6.1,1016,0.76635
LimeSurvey,https://github.com/LimeSurvey/LimeSurvey,JavaScript,1674,217,0,279,7,18.9,43,138,102,2.1,8839,0.76212
haproxy,https://github.com/haproxy/haproxy,C,1792,184,0,323,5,46.0,17,215,118,4.6,1574,0.75764
home-assistant.io,https://github.com/home-assistant/home-assistant.io,HTML,1734,137,0,3646,10,71.1,0,1075,891,0.7,323,0.75602
pants,https://github.com/pantsbuild/pants,Python,1472,120,0,244,4,33.4,68,643,525,1.5,7534,0.75455
SonataAdminBundle,https://github.com/sonata-project/SonataAdminBundle,PHP,1978,124,0,736,10,11.0,37,382,330,2.2,337,0.75375
webpack-cli,https://github.com/webpack/webpack-cli,JavaScript,2052,50,0,115,12,14.5,7,472,454,3.3,19884,0.75338
spdk,https://github.com/spdk/spdk,C,1567,67,0,218,3,57.2,7,178,127,5.9,17663,0.75336
qgroundcontrol,https://github.com/mavlink/qgroundcontrol,C++,1716,131,0,264,4,22.7,13,433,283,1.4,23223,0.75012
jabref,https://github.com/JabRef/jabref,Java,1991,210,0,425,6,25.8,3,617,397,2.2,4450,0.74683
core,https://github.com/opnsense/core,PHP,1433,76,0,167,7,15.5,36,307,182,3.1,4881,0.74441
cosmos-sdk,https://github.com/cosmos/cosmos-sdk,Go,1984,60,0,214,8,32.2,28,935,663,2.1,1212,0.74294
edk2,https://github.com/tianocore/edk2,C,2032,179,0,507,4,26.5,4,332,330,1.3,14276,0.74095
drake,https://github.com/RobotLocomotion/drake,C++,1745,127,0,170,5,25.7,13,453,305,2.2,6362,0.73881
rakudo,https://github.com/rakudo/rakudo,Raku,1388,180,0,323,4,28.0,14,306,181,2.6,2589,0.73275
mne-python,https://github.com/mne-tools/mne-python,Python,1474,122,0,229,10,17.5,13,477,366,4.5,181,0.73135
oppia,https://github.com/oppia/oppia,Python,1602,99,0,462,3,30.7,11,1021,753,5.3,318,0.72884
mixxx,https://github.com/mixxxdj/mixxx,C++,2002,93,0,264,3,83.3,1,557,416,5.5,2548,0.7269
blender,https://github.com/blender/blender,C,1791,222,0,575,4,178.5,8,4,4,2.2,4346,0.72159
foreman,https://github.com/theforeman/foreman,Ruby,1949,140,0,420,5,13.1,19,265,201,3.4,473,0.71958
plugins,https://github.com/rollup/plugins,JavaScript,1441,17,1,111,12,6.6,111,226,145,2.5,64492,0.71887
libcloud,https://github.com/apache/libcloud,Python,1733,135,0,418,10,14.1,7,47,28,2.0,1878,0.71721
http4s,https://github.com/http4s/http4s,Scala,1947,108,0,336,8,29.2,19,511,411,1.7,195,0.71662
cli,https://github.com/cloudfoundry/cli,Go,1526,90,0,470,6,20.9,11,82,42,2.3,1955,0.71611
cgm-remote-monitor,https://github.com/nightscout/cgm-remote-monitor,JavaScript,1381,89,0,183,5,3.2,9,549,493,1.2,31086,0.71325
xamarin-macios,https://github.com/xamarin/xamarin-macios,C#,1954,58,0,114,4,43.9,58,644,517,3.1,1453,0.71197
tox,https://github.com/tox-dev/tox,Python,2018,129,0,234,10,2.3,10,157,106,2.3,3125,0.71144
harfbuzz,https://github.com/harfbuzz/harfbuzz,C++,1778,244,0,158,4,18.6,9,232,185,1.2,17903,0.71119
snapd,https://github.com/snapcore/snapd,Go,1454,74,0,196,5,109.5,18,413,361,0.8,1496,0.71079
azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python,Python,1760,106,0,299,3,43.0,753,2148,1663,1.1,496,0.7105
webmin,https://github.com/webmin/webmin,HTML,1556,168,0,94,5,105.1,9,139,115,2.0,3029,0.70919
scummvm,https://github.com/scummvm/scummvm,C++,1440,234,0,543,1,192.7,6,241,212,2.2,1809,0.70886
loomio,https://github.com/loomio/loomio,Ruby,2022,112,0,119,7,43.6,28,266,243,0.5,2450,0.70743
globalize,https://github.com/globalize/globalize,Ruby,2016,152,0,170,10,0.4,4,14,14,3.3,54430,0.70661
build,https://github.com/armbian/build,Shell,1561,76,0,308,4,23.6,4,327,298,1.5,7917,0.70639
cluster-api,https://github.com/kubernetes-sigs/cluster-api,Go,1463,58,0,302,4,21.9,26,489,265,4.9,243,0.7042
ffi,https://github.com/ffi/ffi,Ruby,1789,151,0,129,10,3.4,8,71,47,2.5,7517,0.70367
assertj-core,https://github.com/assertj/assertj-core,Java,1881,126,0,268,6,8.6,6,168,131,1.9,3248,0.70024
spotless,https://github.com/diffplug/spotless,Java,1619,83,0,137,8,18.0,39,80,55,2.6,1134,0.70021
wazuh,https://github.com/wazuh/wazuh,C,1970,186,1,264,3,90.8,14,1387,815,0.6,1935,0.70002
extensions,https://github.com/dotnet/extensions,C#,2106,85,0,303,3,11.3,18,213,201,1.2,8500,0.69992
zeebe,https://github.com/zeebe-io/zeebe,Java,1680,59,0,64,5,28.4,38,1303,1029,1.7,2079,0.69665
aws-sdk-net,https://github.com/aws/aws-sdk-net,C#,1556,109,0,119,4,31.2,141,173,100,1.8,2276,0.69428
suricata,https://github.com/OISF/suricata,C,1849,140,0,203,5,21.0,12,290,243,1.4,1322,0.69406
openemr,https://github.com/openemr/openemr,PHP,1450,193,0,224,6,15.7,3,328,247,2.7,884,0.69072
commons-lang,https://github.com/apache/commons-lang,Java,2058,225,0,200,6,9.8,5,90,69,1.6,6175,0.68967
gardener,https://github.com/gardener/gardener,Go,1736,37,0,102,3,24.8,74,537,452,1.8,7855,0.68963
TranslateProject,https://github.com/LCTT/TranslateProject,Shell,1684,89,0,744,8,85.7,0,844,841,0.0,751,0.68869
xarray,https://github.com/pydata/xarray,Python,1894,89,0,288,8,8.9,5,433,237,2.3,524,0.68845
agda,https://github.com/agda/agda,Haskell,1410,187,0,160,5,26.2,4,228,121,2.5,1691,0.68806
testng,https://github.com/cbeust/testng,Java,1573,176,0,210,7,3.0,5,99,81,2.9,3122,0.68737
crawl,https://github.com/crawl/crawl,C++,1375,176,0,429,4,38.2,3,145,107,1.0,2298,0.68629
wine,https://github.com/wine-mirror/wine,C,1519,335,0,2134,2,160.2,25,1,1,2.0,294,0.68619
typeshed,https://github.com/python/typeshed,Python,1965,71,0,826,7,18.5,0,320,280,1.6,904,0.68451
webpack.js.org,https://github.com/webpack/webpack.js.org,JavaScript,1928,55,0,1058,10,10.8,2,402,351,2.2,98,0.68412
ltp,https://github.com/linux-test-project/ltp,C,1422,252,0,383,7,18.3,3,86,31,0.9,2827,0.68372
GitVersion,https://github.com/GitTools/GitVersion,C#,1809,90,0,263,6,11.6,19,200,132,2.4,318,0.68248
stan,https://github.com/stan-dev/stan,Stan,1984,113,0,125,6,10.1,6,70,33,1.9,7856,0.68077
prysm,https://github.com/prysmaticlabs/prysm,Go,1808,67,0,114,3,42.4,48,834,753,1.4,1106,0.68068
django-DefectDojo,https://github.com/DefectDojo/django-DefectDojo,HTML,1515,72,0,219,5,24.6,22,766,620,1.6,208,0.67997
OpenSC,https://github.com/OpenSC/OpenSC,C,1566,234,1,211,7,8.3,3,106,53,4.9,1446,0.67898
openshift-ansible,https://github.com/openshift/openshift-ansible,Python,1967,77,2,489,3,0.7,416,71,59,7.3,3062,0.67846
samples,https://github.com/dotnet/samples,C#,1434,69,0,410,6,11.3,101,206,166,0.4,1032,0.67841
hpx,https://github.com/STEllAR-GROUP/hpx,C++,1606,156,0,184,7,30.6,9,157,101,1.4,445,0.67722
seldon-core,https://github.com/SeldonIO/seldon-core,Jupyter Notebook,2035,47,0,129,5,40.1,11,359,251,5.4,192,0.67694
enhancements,https://github.com/kubernetes/enhancements,Go,1507,57,0,389,6,15.0,0,511,180,3.8,996,0.67646
linq2db,https://github.com/linq2db/linq2db,C#,1943,117,0,109,5,7.9,20,316,234,5.0,215,0.67624
pipelines,https://github.com/kubeflow/pipelines,Python,1940,33,0,202,2,19.5,26,679,323,3.4,1438,0.67566
ionic-native,https://github.com/ionic-team/ionic-native,TypeScript,2038,63,1,664,10,3.6,16,100,52,0.8,1591,0.67521
runtime,https://github.com/kata-containers/runtime,Go,2055,39,0,104,6,6.8,26,196,131,3.3,1722,0.67405
