name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
nixpkgs,https://github.com/NixOS/nixpkgs,Nix,6098,217,0,4781,9,697.6,6,13040,9636,2.0,33176,0.96184
magento2,https://github.com/magento/magento2,PHP,9178,111,0,2372,4,146.3,10,4163,2239,2.7,249201,0.92639
PrestaShop,https://github.com/PrestaShop/PrestaShop,PHP,5339,119,0,937,9,135.5,11,2752,1733,2.3,122186,0.91444
ceph,https://github.com/ceph/ceph,C++,8651,240,0,1369,3,148.5,16,1804,1276,3.0,363414,0.9106
linux,https://github.com/raspberrypi/linux,C,7559,191,0,5000,10,150.9,4,267,138,4.1,21390,0.90546
homebrew-core,https://github.com/Homebrew/homebrew-core,Ruby,8627,141,0,11633,5,995.6,0,6877,6734,2.4,12293,0.89685
salt,https://github.com/saltstack/salt,Python,11462,120,0,3636,7,62.6,21,1337,484,1.2,22501,0.87762
gradle,https://github.com/gradle/gradle,Groovy,11333,156,0,584,5,180.9,43,1980,1233,1.8,41247,0.86484
systemd,https://github.com/systemd/systemd,C,7587,191,0,1889,2,86.8,9,1269,836,3.1,128166,0.86385
buildbot,https://github.com/buildbot/buildbot,Python,4517,184,0,774,8,21.6,13,253,212,1.5,469962,0.85776
llvm-project,https://github.com/llvm/llvm-project,C++,7188,238,0,2654,5,653.6,21,22,22,1.1,37690,0.85267
Cataclysm-DDA,https://github.com/CleverRaven/Cataclysm-DDA,C++,4791,125,0,1695,3,159.9,1199,2619,2013,2.0,8719,0.85264
hadoop,https://github.com/apache/hadoop,Java,11214,142,0,519,7,20.5,29,293,200,4.7,55317,0.84905
qmk_firmware,https://github.com/qmk/qmk_firmware,C,8354,127,0,2028,4,48.4,121,1287,905,1.6,18343,0.84527
cakephp,https://github.com/cakephp/cakephp,PHP,8305,190,0,746,7,21.5,42,303,265,1.7,125092,0.84492
scala,https://github.com/scala/scala,Scala,13074,218,0,599,7,22.2,5,377,327,2.5,313002,0.84295
mono,https://github.com/mono/mono,C#,9062,238,0,1278,4,21.7,24,374,208,1.6,208602,0.84285
rubocop,https://github.com/rubocop-hq/rubocop,Ruby,11226,106,0,820,8,26.1,34,669,555,2.1,26113,0.84178
jdk,https://github.com/openjdk/jdk,Java,7254,160,0,1438,2,93.6,52,1557,1384,9.0,1198,0.83427
beam,https://github.com/apache/beam,Java,4493,74,0,989,7,66.6,7,778,650,4.0,11443,0.83394
yii2,https://github.com/yiisoft/yii2,PHP,13613,118,0,1327,10,6.5,12,207,165,3.3,27751,0.83115
otp,https://github.com/erlang/otp,Erlang,8847,136,0,755,6,46.7,49,203,163,3.6,15014,0.83
origin,https://github.com/openshift/origin,Go,7776,78,1,478,5,14.3,11,416,288,16.9,40940,0.82826
erpnext,https://github.com/frappe/erpnext,Python,7426,117,0,426,7,50.1,44,987,709,0.6,83126,0.82821
core,https://github.com/owncloud/core,PHP,7313,132,0,615,8,35.9,41,356,282,2.2,18370,0.82815
edx-platform,https://github.com/edx/edx-platform,Python,5368,111,0,960,3,51.1,253,883,773,3.5,13245,0.82644
Marlin,https://github.com/MarlinFirmware/Marlin,C++,9435,114,1,865,4,37.4,19,2026,1768,3.4,20843,0.82622
pytest,https://github.com/pytest-dev/pytest,Python,6886,170,0,688,8,21.8,18,410,311,2.3,24200,0.82467
gutenberg,https://github.com/WordPress/gutenberg,JavaScript,6471,55,0,742,5,75.1,71,3364,2099,2.5,6710,0.82194
phpmyadmin,https://github.com/phpmyadmin/phpmyadmin,PHP,5271,240,0,1786,4,44.2,6,486,374,1.4,60454,0.82133
runtime,https://github.com/dotnet/runtime,C#,4674,238,0,2310,3,132.9,11,41663,38662,0.5,6886,0.82069
sdk,https://github.com/dart-lang/sdk,Dart,6300,113,0,393,3,153.1,160,1902,930,1.6,30254,0.81881
matplotlib,https://github.com/matplotlib/matplotlib,Python,12893,215,0,1191,7,51.9,10,838,561,2.5,4213,0.81876
openwrt,https://github.com/openwrt/openwrt,C,7306,204,0,904,4,62.9,2,499,339,5.2,25474,0.81759
bigbluebutton,https://github.com/bigbluebutton/bigbluebutton,JavaScript,6106,154,0,213,7,22.4,37,875,459,2.5,51637,0.8173
server,https://github.com/nextcloud/server,PHP,12715,132,0,922,7,56.5,8,2360,1593,2.2,3566,0.81708
kops,https://github.com/kubernetes/kops,Go,12418,58,0,783,9,37.0,33,815,637,3.3,3460,0.81679
pip,https://github.com/pypa/pip,Python,6789,149,0,576,9,32.8,8,668,406,4.3,5288,0.81634
sympy,https://github.com/sympy/sympy,Python,7717,164,0,1028,4,66.5,7,821,391,4.9,5907,0.81569
Specs,https://github.com/CocoaPods/Specs,,6063,114,0,38267,7,1921.9,0,7,7,1.1,26925,0.81448
community,https://github.com/kubernetes/community,Jupyter Notebook,7500,76,0,1184,5,14.1,0,311,193,3.7,576877,0.81322
ardupilot,https://github.com/ArduPilot/ardupilot,C++,5527,130,0,714,8,84.8,2,1421,826,1.7,13682,0.81188
qemu,https://github.com/qemu/qemu,C,4278,218,0,2059,3,157.3,16,6,6,1.0,228118,0.81078
woocommerce,https://github.com/woocommerce/woocommerce,PHP,6660,115,0,1275,5,42.8,61,1298,802,1.5,3790,0.80761
cas,https://github.com/apereo/cas,Java,8293,127,0,291,8,42.0,26,68,60,4.5,14024,0.80632
cargo,https://github.com/rust-lang/cargo,Rust,6323,83,0,748,10,17.3,8,483,255,3.8,7717,0.80596
esp-idf,https://github.com/espressif/esp-idf,C,5869,53,0,473,3,47.5,17,775,445,3.3,77754,0.80566
cilium,https://github.com/cilium/cilium,Go,7213,62,0,260,8,84.4,41,1481,1106,2.9,4523,0.80522
alluxio,https://github.com/Alluxio/alluxio,Java,4891,98,0,1250,9,18.0,7,545,460,3.3,3706,0.8051
amphtml,https://github.com/ampproject/amphtml,JavaScript,13961,65,0,1065,8,55.3,123,2034,1446,1.4,1773,0.80479
puma,https://github.com/puma/puma,Ruby,6617,182,0,416,10,8.3,10,168,143,3.2,37475,0.80221
scipy,https://github.com/scipy/scipy,Python,7813,243,0,1107,5,28.9,11,823,497,3.1,4485,0.80134
opencart,https://github.com/opencart/opencart,PHP,5850,145,0,382,8,14.3,4,629,434,1.5,99637,0.79667
arrow,https://github.com/apache/arrow,C++,6827,60,0,610,6,48.9,7,929,811,3.9,6092,0.7944
xbmc,https://github.com/xbmc/xbmc,C++,11941,137,0,1040,2,34.1,11,708,487,3.0,20484,0.79334
rasa,https://github.com/RasaHQ/rasa,Python,10474,51,0,452,4,113.3,65,1046,651,2.1,10466,0.79112
ClickHouse,https://github.com/ClickHouse/ClickHouse,C++,14019,147,0,834,2,290.9,71,4055,3195,1.3,1310,0.79005
spree,https://github.com/spree/spree,Ruby,10972,157,0,1122,6,23.4,24,163,119,1.2,12402,0.78975
packer,https://github.com/hashicorp/packer,Go,12436,95,0,1330,7,40.2,13,835,613,2.0,1275,0.7888
solidity,https://github.com/ethereum/solidity,C++,8901,85,0,421,8,41.2,21,1045,734,2.3,2630,0.78843
jupyterlab,https://github.com/jupyterlab/jupyterlab,JavaScript,10624,66,0,382,9,51.0,3161,614,351,3.1,1921,0.78683
engine,https://github.com/flutter/engine,Dart,4764,94,0,380,3,91.6,1,1940,1855,1.5,123884,0.7868
roslyn,https://github.com/dotnet/roslyn,C#,13836,83,0,563,2,184.9,5,2715,1722,1.7,22812,0.78671
electrum,https://github.com/spesmilo/electrum,Python,4390,112,0,327,6,24.2,16,512,326,2.1,20730,0.7863
ingress-nginx,https://github.com/kubernetes/ingress-nginx,Go,9298,59,0,641,10,15.6,74,726,530,3.2,1432,0.78338
Paddle,https://github.com/PaddlePaddle/Paddle,Python,13740,53,0,487,5,66.5,12,2833,2004,1.7,6994,0.78258
tdesktop,https://github.com/telegramdesktop/tdesktop,C++,13983,81,0,138,7,41.9,68,1784,1081,2.1,9933,0.78227
vcpkg,https://github.com/microsoft/vcpkg,C++,11545,52,0,1252,3,45.9,6,2462,1767,2.7,6622,0.78158
azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,PowerShell,8686,70,0,1331,5,78.7,1,327,237,1.3,39635,0.78114
quarkus,https://github.com/quarkusio/quarkus,Java,6675,31,0,452,5,105.2,51,2077,1546,3.3,1768,0.77961
notebook,https://github.com/jupyter/notebook,JavaScript,7920,189,0,539,9,4.8,4,299,161,1.7,65944,0.77873
aws-cdk,https://github.com/aws/aws-cdk,TypeScript,6021,40,0,583,5,50.1,75,2374,1508,3.1,1724,0.77853
phpstan,https://github.com/phpstan/phpstan,PHP,9459,61,0,211,6,33.8,60,573,433,2.4,19062,0.77842
arangodb,https://github.com/arangodb/arangodb,C++,10687,112,0,133,6,23.5,59,645,517,2.8,15352,0.77737
closure-compiler,https://github.com/google/closure-compiler,Java,5789,136,0,1076,5,24.1,13,68,36,2.7,11002,0.77697
cert-manager,https://github.com/jetstack/cert-manager,Go,6784,44,0,264,7,20.6,34,321,198,3.1,22755,0.77689
awx,https://github.com/ansible/awx,Python,8851,96,0,401,8,55.3,5,1228,654,2.2,3644,0.77662
cdnjs,https://github.com/cdnjs/cdnjs,,8892,120,0,1718,8,462.4,1,14,14,2.2,2554,0.77559
mautic,https://github.com/mautic/mautic,PHP,4270,90,0,297,7,26.5,27,818,394,2.2,4781,0.77422
