name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
jetpack,https://github.com/Automattic/jetpack,PHP,1271,122,0,670,5,40.2,46,1359,933,2.2,2118,0.79125
bioconda-recipes,https://github.com/bioconda/bioconda-recipes,Shell,1234,65,0,1291,11,92.8,0,1452,1337,2.4,603,0.76241
wordpress-seo,https://github.com/Yoast/wordpress-seo,PHP,1280,99,0,309,3,98.9,158,487,386,1.7,4560,0.75381
qtbase,https://github.com/qt/qtbase,C++,1231,118,1,1459,4,110.6,15,5,5,0.4,72310,0.7499
client,https://github.com/owncloud/client,C++,1223,157,0,165,10,12.0,11,253,177,2.3,5426,0.74342
buildroot,https://github.com/buildroot/buildroot,Makefile,1262,232,0,1268,4,102.7,14,6,5,0.5,16339,0.73836
frontend,https://github.com/home-assistant/frontend,TypeScript,1267,67,0,336,6,42.9,116,993,732,1.7,506,0.73004
setuptools,https://github.com/pypa/setuptools,Python,1281,269,0,407,4,11.3,9,164,86,1.9,10663,0.72409
uaa,https://github.com/cloudfoundry/uaa,Java,1254,113,0,216,9,16.8,17,98,72,1.9,659,0.70135
MPD,https://github.com/MusicPlayerDaemon/MPD,C++,1246,206,0,273,4,16.6,10,85,57,3.3,2097,0.70115
LibreELEC.tv,https://github.com/LibreELEC/LibreELEC.tv,Makefile,1287,144,0,383,4,33.2,6,422,354,1.5,717,0.695
installers,https://github.com/composer/installers,PHP,1273,104,0,175,11,0.7,3,49,43,1.3,51202,0.69136
trafficserver,https://github.com/apache/trafficserver,C++,1231,137,0,412,6,12.3,16,240,153,1.1,242,0.67679
gpac,https://github.com/gpac/gpac,C,1251,189,0,72,9,26.3,4,77,74,2.2,1669,0.6765
rebar3,https://github.com/erlang/rebar3,Erlang,1264,136,0,324,7,5.0,8,88,61,2.7,508,0.67595
Medusa,https://github.com/pymedusa/Medusa,Python,1241,83,0,311,4,13.0,17,587,536,1.8,275,0.67475
spring-kafka,https://github.com/spring-projects/spring-kafka,Java,1224,59,0,100,9,6.7,46,147,134,1.1,2286,0.67305
spring-data-mongodb,https://github.com/spring-projects/spring-data-mongodb,Java,1232,128,0,135,9,5.1,19,196,124,23.5,6,0.67296
base-drafts,https://github.com/quicwg/base-drafts,Shell,1222,51,0,93,5,39.9,42,532,514,1.9,407,0.67182
Flexget,https://github.com/Flexget/Flexget,Python,1252,158,0,317,2,7.4,23,76,44,1.8,3550,0.67025
terraform-provider-google,https://github.com/hashicorp/terraform-provider-google,Go,1248,78,0,440,3,22.2,41,1077,840,1.9,62,0.66998
jooby,https://github.com/jooby-project/jooby,Java,1274,80,0,84,10,15.8,26,190,167,0.7,569,0.663
azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,C++,1254,55,0,177,4,21.1,1,1089,596,2.1,1832,0.66112
deconz-rest-plugin,https://github.com/dresden-elektronik/deconz-rest-plugin,C++,1201,91,0,66,1,23.9,19,1002,796,6.5,485,0.65959
tinkerpop,https://github.com/apache/tinkerpop,Java,1271,90,0,174,6,8.1,9,38,36,2.2,1474,0.65793
coreboot,https://github.com/coreboot/coreboot,C,1203,216,0,1135,3,127.8,1,0,0,0,19219,0.65198
selenide,https://github.com/selenide/selenide,Java,1257,112,0,121,8,7.7,15,130,110,1.2,359,0.648
commanded,https://github.com/commanded/commanded,Elixir,1239,58,0,60,7,2.3,10,27,19,0.3,142703,0.64639
KeePassDX,https://github.com/Kunzisoft/KeePassDX,Kotlin,1227,146,0,232,4,29.5,27,159,95,3.0,22,0.64584
fork-ts-checker-webpack-plugin,https://github.com/TypeStrong/fork-ts-checker-webpack-plugin,TypeScript,1273,45,0,79,11,1.6,68,75,54,2.5,905,0.64055
sagemaker-python-sdk,https://github.com/aws/sagemaker-python-sdk,Python,1291,39,0,164,3,14.8,130,233,161,5.1,96,0.63695
parser,https://github.com/whitequark/parser,Yacc,1279,95,1,64,7,2.0,16,34,32,3.2,2919,0.63425
CKAN,https://github.com/KSP-CKAN/CKAN,C#,1218,78,0,89,4,4.8,8,125,99,2.8,1437,0.63184
sp-dev-fx-webparts,https://github.com/pnp/sp-dev-fx-webparts,TypeScript,1230,53,0,170,7,20.5,152,151,144,2.8,18,0.6315
revolution,https://github.com/modxcms/revolution,PHP,1207,171,1,240,9,3.1,6,274,218,0.5,560,0.6306
trimesh,https://github.com/mikedh/trimesh,Python,1207,91,0,88,8,8.0,73,109,76,1.8,103,0.62839
AFLplusplus,https://github.com/AFLplusplus/AFLplusplus,C,1249,20,0,86,6,43.6,9,112,95,3.8,148,0.61975
mattermost-mobile,https://github.com/mattermost/mattermost-mobile,JavaScript,1229,52,0,155,3,12.2,20,254,219,3.3,60,0.61431
lumen-framework,https://github.com/laravel/lumen-framework,PHP,1266,70,1,215,10,1.7,18,31,31,1.7,280,0.61429
content,https://github.com/nuxt/content,JavaScript,1210,10,0,73,5,16.8,22,210,113,1.7,1517,0.61379
node-problem-detector,https://github.com/kubernetes/node-problem-detector,Go,1284,57,0,85,5,1.0,5,76,43,4.0,1748,0.61266
openstreetmap-website,https://github.com/openstreetmap/openstreetmap-website,Ruby,1218,176,0,204,5,11.8,0,247,162,1.8,242,0.61146
Kamon,https://github.com/kamon-io/Kamon,Scala,1273,94,0,147,8,3.2,11,50,22,2.1,126,0.61003
sendgrid-php,https://github.com/sendgrid/sendgrid-php,PHP,1229,109,0,151,8,2.0,18,36,27,1.8,86,0.60487
texstudio,https://github.com/texstudio-org/texstudio,C++,1217,146,0,81,3,9.1,22,157,110,2.8,75,0.60453
apps,https://github.com/electron/apps,JavaScript,1236,53,0,844,8,31.8,364,86,72,1.2,0,0.60402
operating-system,https://github.com/home-assistant/operating-system,Makefile,1279,37,0,62,8,6.2,36,316,245,4.1,18,0.60365
parquet-mr,https://github.com/apache/parquet-mr,Java,1244,102,0,172,5,1.5,6,44,34,1.3,882,0.60211
