name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
oneDNN,https://github.com/oneapi-src/oneDNN,C++,2222,57,0,151,2,41.0,33,112,90,2.9,68,0.61224
framework,https://github.com/top-think/framework,PHP,2270,95,0,106,7,1.9,6,74,36,0.9,1764,0.61198
tor,https://github.com/torproject/tor,C,2123,226,0,263,4,22.8,30,43,33,0.8,45,0.60753
bookdown,https://github.com/rstudio/bookdown,R,2261,63,1,82,11,2.4,4,877,823,1.0,468,0.60718
IJulia.jl,https://github.com/JuliaLang/IJulia.jl,Julia,2162,96,0,98,9,0.6,8,29,19,3.4,256,0.6059
cappuccino,https://github.com/cappuccino/cappuccino,Objective-J,2172,150,1,205,6,1.3,7,35,20,2.1,685,0.60548
netmiko,https://github.com/ktbyers/netmiko,Python,2131,75,0,178,3,3.2,6,145,68,2.3,524,0.60335
zsh,https://github.com/zsh-users/zsh,C,2123,265,1,261,3,5.3,10,4,1,2.5,2135,0.60315
AxonFramework,https://github.com/AxonFramework/AxonFramework,Java,2249,134,0,179,3,14.5,13,168,119,1.1,87,0.60315
strimzi-kafka-operator,https://github.com/strimzi/strimzi-kafka-operator,Java,2132,57,0,110,2,19.6,21,495,372,3.9,30,0.60306
ferdi,https://github.com/getferdi/ferdi,JavaScript,2175,40,0,87,9,11.7,12,306,76,2.2,39,0.60187
alice,https://github.com/nelmio/alice,PHP,2177,100,0,130,11,0.6,7,21,15,1.6,444,0.60104
materialize,https://github.com/MaterializeInc/materialize,Rust,2162,38,0,45,4,66.6,18,1023,659,1.1,73,0.60027
longhorn,https://github.com/longhorn/longhorn,Shell,2212,46,0,33,6,3.7,23,483,276,3.1,136,0.60004
killbill,https://github.com/killbill/killbill,Java,2232,112,1,45,5,3.6,24,30,21,0.6,6988,0.59981
stopwatch,https://github.com/symfony/stopwatch,PHP,2140,100,0,48,12,0.3,52,1,1,2.0,2580,0.59872
trellis,https://github.com/roots/trellis,HTML,2172,82,0,102,9,1.9,4,50,40,2.0,311,0.59866
pomerium,https://github.com/pomerium/pomerium,Go,2192,25,0,49,7,16.6,38,361,327,1.6,82,0.59815
truth,https://github.com/google/truth,Java,2180,118,0,96,5,1.5,2,31,29,0.5,10715,0.59775
shadowsocks-rust,https://github.com/shadowsocks/shadowsocks-rust,Rust,2264,76,0,34,5,10.2,25,101,87,5.2,36,0.597
awesome_nested_set,https://github.com/collectiveidea/awesome_nested_set,Ruby,2211,161,0,128,8,0.3,3,118,16,1.1,992,0.5967
rufus-scheduler,https://github.com/jmettraux/rufus-scheduler,Ruby,2141,156,0,59,9,1.1,5,14,13,3.3,415,0.59529
lark,https://github.com/lark-parser/lark,Python,2188,48,0,76,2,7.7,13,115,75,4.1,425,0.59374
photon,https://github.com/vmware/photon,Python,2179,70,0,110,4,18.8,1,56,18,1.9,901,0.59229
SQL-Server-First-Responder-Kit,https://github.com/BrentOzarULTD/SQL-Server-First-Responder-Kit,TSQL,2143,109,0,141,5,5.4,13,130,122,1.3,49,0.59123
irssi,https://github.com/irssi/irssi,C,2254,260,0,129,6,1.7,3,52,28,1.6,469,0.59078
hakyll,https://github.com/jaspervdj/hakyll,Haskell,2254,135,0,201,3,1.0,16,47,38,2.4,152,0.58884
Ackee,https://github.com/electerious/Ackee,JavaScript,2263,82,1,27,7,12.3,16,55,48,3.2,176,0.58849
autobahn-python,https://github.com/crossbario/autobahn-python,Python,2244,115,0,119,6,1.8,14,37,24,1.0,285,0.58839
jitsi-videobridge,https://github.com/jitsi/jitsi-videobridge,Java,2244,103,0,74,6,6.5,13,94,77,1.1,114,0.58819
gobgp,https://github.com/osrg/gobgp,Go,2110,77,0,115,6,1.8,11,77,61,0.9,346,0.58626
rke,https://github.com/rancher/rke,Go,2204,39,0,81,5,3.1,142,460,394,0.7,223,0.58619
gluon-nlp,https://github.com/dmlc/gluon-nlp,Python,2209,34,0,78,7,3.0,5,115,80,4.9,88,0.58451
tagspaces,https://github.com/tagspaces/tagspaces,TypeScript,2156,99,0,30,6,8.2,19,167,144,0.8,199,0.58427
Orchard,https://github.com/OrchardCMS/Orchard,JavaScript,2207,136,1,246,8,0.5,3,34,20,1.5,389,0.58373
spring,https://github.com/mybatis/spring,Java,2233,127,0,40,4,2.1,3,34,30,0.9,7965,0.57978
bref,https://github.com/brefphp/bref,PHP,2123,39,1,102,10,8.4,28,114,93,1.5,28,0.57956
spksrc,https://github.com/SynoCommunity/spksrc,Makefile,2143,113,0,181,2,4.0,0,532,408,1.7,494,0.57955
Casper,https://github.com/TryGhost/Casper,CSS,2112,93,0,98,4,2.3,11,7,6,1.0,2498,0.57953
authlib,https://github.com/lepture/authlib,Python,2250,39,0,54,11,4.2,7,37,29,2.4,190,0.57875
browser-kit,https://github.com/symfony/browser-kit,PHP,2281,127,0,125,13,0.7,52,0,0,0,2721,0.57857
bundler-audit,https://github.com/rubysec/bundler-audit,Ruby,2256,96,0,47,10,2.8,2,62,45,1.3,417,0.57777
react-md,https://github.com/mlaursen/react-md,TypeScript,2185,63,0,78,4,15.6,30,91,74,1.1,71,0.57757
jsonapi-resources,https://github.com/cerebris/jsonapi-resources,Ruby,2195,83,0,176,10,0.2,12,173,116,0.2,95,0.57631
motioneye,https://github.com/ccrisan/motioneye,Python,2238,90,0,51,8,0.4,1,152,58,3.7,284,0.57564
CodeIgniter-Ion-Auth,https://github.com/benedmunds/CodeIgniter-Ion-Auth,PHP,2235,134,1,234,9,0.4,3,5,5,2.2,335,0.57332
spec,https://github.com/WebAssembly/spec,WebAssembly,2206,66,0,95,5,1.8,2,29,13,0.8,4562,0.57202
AutoFixture,https://github.com/AutoFixture/AutoFixture,C#,2137,133,1,82,10,0.4,4,28,20,1.8,423,0.57126
cwa-app-android,https://github.com/corona-warn-app/cwa-app-android,Kotlin,2158,8,0,74,3,22.0,101,746,662,3.7,30,0.57121
behave,https://github.com/behave/behave,Python,2223,112,0,81,6,0.7,2,61,29,2.5,317,0.57029
material-ui-pickers,https://github.com/mui-org/material-ui-pickers,TypeScript,2146,40,1,130,7,5.9,14,100,80,1.8,55,0.57011
unit,https://github.com/nginx/unit,C,2275,48,0,20,3,8.1,13,66,30,3.1,1041,0.56952
libgit2sharp,https://github.com/libgit2/libgit2sharp,C#,2252,123,2,126,5,1.1,4,41,17,1.7,1215,0.56907
data-fixtures,https://github.com/doctrine/data-fixtures,PHP,2253,126,1,93,9,0.4,4,7,3,2.6,674,0.56868
open,https://github.com/sindresorhus/open,JavaScript,2135,82,0,34,8,0.5,9,17,7,2.4,769,0.56784
werf,https://github.com/werf/werf,Go,2188,61,0,37,4,23.9,301,327,285,1.0,35,0.567
google-maps-services-js,https://github.com/googlemaps/google-maps-services-js,TypeScript,2226,64,0,47,5,3.0,43,56,52,1.8,129,0.56599
property-access,https://github.com/symfony/property-access,PHP,2134,97,0,108,11,0.9,52,0,0,0,1993,0.56571
ckb-next,https://github.com/ckb-next/ckb-next,C++,2115,76,0,91,2,2.0,1,78,24,2.1,3816,0.56475
cleanflight,https://github.com/cleanflight/cleanflight,C,2280,108,4,471,1,5.3,5,5,5,2.8,2502,0.56473
nutch,https://github.com/apache/nutch,Java,2163,194,0,74,10,2.1,3,12,9,0.7,460,0.56468
react-flow,https://github.com/wbkd/react-flow,TypeScript,2185,18,0,24,7,16.5,110,272,244,2.0,49,0.56423
singa,https://github.com/apache/singa,C++,2159,70,1,70,9,8.7,2,26,23,2.4,152,0.56343
GAM,https://github.com/jay0lee/GAM,Python,2200,81,0,29,3,10.8,21,54,43,1.4,345,0.56306
thinc,https://github.com/explosion/thinc,Python,2148,80,0,36,7,10.6,6,71,64,0.8,183,0.56286
django-oauth-toolkit,https://github.com/jazzband/django-oauth-toolkit,Python,2129,93,1,166,7,1.4,4,76,45,1.8,83,0.56107
pywebview,https://github.com/r0x0r/pywebview,Python,2147,75,0,68,3,4.3,8,92,72,4.7,40,0.56021
dunst,https://github.com/dunst-project/dunst,C,2236,114,0,93,4,2.3,1,53,29,4.5,100,0.5597
mockery,https://github.com/vektra/mockery,Go,2262,77,0,63,7,1.9,25,25,12,1.8,63,0.55855
earthenterprise,https://github.com/google/earthenterprise,C++,2278,46,0,85,3,3.4,19,34,28,2.9,137,0.55812
LibreCAD,https://github.com/LibreCAD/LibreCAD,C++,2110,127,0,120,4,1.2,1,51,20,1.2,838,0.55738
redbean,https://github.com/gabordemooij/redbean,PHP,2117,142,0,72,6,2.7,3,15,12,2.4,142,0.55644
python-socketio,https://github.com/miguelgrinberg/python-socketio,Python,2138,67,0,48,4,1.6,13,71,51,3.5,92,0.55528
browser,https://github.com/bitwarden/browser,TypeScript,2177,59,0,84,4,4.8,14,175,110,1.7,35,0.55503
depcheck,https://github.com/depcheck/depcheck,JavaScript,2159,89,1,71,10,1.3,5,77,46,1.7,86,0.55424
dolt,https://github.com/dolthub/dolt,Go,2214,68,0,68,5,33.8,38,295,238,0.6,4,0.55394
panther,https://github.com/symfony/panther,PHP,2190,34,0,72,9,1.0,5,51,37,1.1,388,0.55332
mmcv,https://github.com/open-mmlab/mmcv,Python,2113,29,0,81,8,7.3,14,199,144,1.8,9,0.55328
nats-streaming-server,https://github.com/nats-io/nats-streaming-server,Go,2159,61,0,37,5,1.2,4,47,43,3.5,329,0.55247
nanopb,https://github.com/nanopb/nanopb,C,2163,115,2,93,6,3.8,7,34,19,1.9,130,0.5523
dragonfly,https://github.com/markevans/dragonfly,Ruby,2111,144,0,75,7,0.5,7,6,6,1.5,314,0.55223
netboot.xyz,https://github.com/netbootxyz/netboot.xyz,HTML,2261,65,0,66,5,18.1,52,102,79,1.0,10,0.55057
stretchly,https://github.com/hovancik/stretchly,JavaScript,2271,55,0,93,4,3.4,6,130,102,2.7,39,0.55052
gpytorch,https://github.com/cornellius-gp/gpytorch,Python,2248,44,0,63,6,6.4,4,136,84,1.9,55,0.54857
vue-auth,https://github.com/websanova/vue-auth,JavaScript,2161,57,1,41,7,3.1,32,29,22,3.9,36,0.54806
expression-language,https://github.com/symfony/expression-language,PHP,2168,89,0,55,10,0.6,52,0,0,0,2490,0.54629
survey,https://github.com/AlecAivazis/survey,Go,2158,51,1,46,7,0.4,14,33,19,2.5,339,0.54509
choosealicense.com,https://github.com/github/choosealicense.com,Ruby,2205,106,1,140,10,1.1,0,25,21,1.1,336,0.54431
logseq,https://github.com/logseq/logseq,Clojure,2191,13,0,22,5,38.9,4,784,474,1.3,137,0.54306
helidon,https://github.com/oracle/helidon,Java,2265,29,0,57,3,14.4,16,294,212,0.6,119,0.54284
codeclimate,https://github.com/codeclimate/codeclimate,Ruby,2141,68,1,61,6,0.7,12,19,10,1.1,910,0.54209
tidy-html5,https://github.com/htacg/tidy-html5,C,2215,111,1,80,7,1.0,1,46,35,2.1,212,0.54182
mercure,https://github.com/dunglas/mercure,Go,2259,30,0,51,9,2.8,12,73,63,1.7,34,0.53922
swagger-js,https://github.com/swagger-api/swagger-js,JavaScript,2162,108,0,223,8,6.1,18,128,119,0.4,0,0.53922
pdf-lib,https://github.com/Hopding/pdf-lib,TypeScript,2138,41,0,23,7,2.4,18,171,140,1.6,60,0.53888
learnstorybook.com,https://github.com/chromaui/learnstorybook.com,JavaScript,2152,34,0,123,6,8.6,0,53,41,2.5,76,0.53877
thin,https://github.com/macournoyer/thin,Ruby,2133,160,2,105,8,0.3,3,7,4,2.0,454,0.53837
L7,https://github.com/antvis/L7,TypeScript,2152,27,1,30,4,14.9,34,84,41,1.1,366,0.53836
www.html5rocks.com,https://github.com/html5rocks/www.html5rocks.com,HTML,2181,103,2,177,6,0.6,0,11,10,6.2,126,0.53795
browser,https://github.com/fnando/browser,Ruby,2177,128,1,105,4,1.0,5,11,6,0.9,1247,0.53789
TimelineJS3,https://github.com/NUKnightLab/TimelineJS3,JavaScript,2151,79,1,36,6,2.6,13,20,6,1.4,504,0.53786
mobile,https://github.com/bitwarden/mobile,C#,2118,57,0,54,3,6.2,12,167,100,2.3,30,0.53722
glium,https://github.com/glium/glium,Rust,2257,76,1,140,6,1.0,8,27,21,2.5,38,0.53596
deepdetect,https://github.com/jolibrain/deepdetect,C++,2192,75,0,29,5,9.5,5,255,233,0.8,64,0.53589
incubator-doris,https://github.com/apache/incubator-doris,C++,2190,42,0,140,3,22.7,2,555,405,0.7,24,0.53587
fancytree,https://github.com/mar10/fancytree,JavaScript,2261,107,0,51,5,1.0,4,27,19,1.6,245,0.53541
u8g2,https://github.com/olikraus/u8g2,C,2144,63,0,33,7,2.1,0,96,59,3.2,183,0.535
oxyplot,https://github.com/oxyplot/oxyplot,C#,2151,124,1,135,6,2.0,0,49,23,2.4,102,0.53453
MifareClassicTool,https://github.com/ikarus23/MifareClassicTool,Java,2214,96,0,41,4,5.1,7,34,31,2.4,52,0.53395
musikcube,https://github.com/clangen/musikcube,C++,2239,156,0,37,4,11.5,12,44,26,2.0,17,0.53338
