name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
kmsan,https://github.com/google/kmsan,C,"License(name=""Other"")",257,46,3,5000,10,1142.1,0,3,2,1.7,8971,0.75354
node-v8,https://github.com/nodejs/node-v8,JavaScript,"License(name=""Other"")",256,145,1,3266,10,61.3,0,12,6,2.4,1773,0.72941
assets,https://github.com/trustwallet/assets,TypeScript,"License(name=""MIT License"")",261,18,0,1454,4,73.5,0,789,767,4.0,786,0.70561
Vulkan-ValidationLayers,https://github.com/KhronosGroup/Vulkan-ValidationLayers,C++,"License(name=""Other"")",259,79,0,246,4,25.0,7,302,251,2.0,1298,0.68407
General,https://github.com/JuliaRegistries/General,Julia,"License(name=""MIT License"")",256,42,0,166,8,366.2,0,5039,4982,1.1,152,0.68133
core-geonetwork,https://github.com/geonetwork/core-geonetwork,Java,"License(name=""GNU General Public License v2.0"")",247,174,0,117,8,8.6,9,380,210,0.9,2323,0.68107
OpenMS,https://github.com/OpenMS/OpenMS,C++,"License(name=""Other"")",260,178,0,160,8,25.5,2,147,93,3.1,468,0.67728
percona-xtradb-cluster,https://github.com/percona/percona-xtradb-cluster,C++,"License(name=""Other"")",257,250,0,834,5,45.8,48,103,73,0.6,30,0.65903
docs,https://github.com/auth0/docs,JavaScript,"License(name=""MIT License"")",260,99,0,878,6,30.2,0,118,105,0.3,878,0.65219
chef-server,https://github.com/chef/chef-server,Erlang,"License(name=""Apache License 2.0"")",250,127,0,161,8,8.7,91,134,78,0.8,257,0.65207
Zope,https://github.com/zopefoundation/Zope,Python,"License(name=""Other"")",251,300,0,154,8,3.3,10,19,15,3.2,711,0.65091
network,https://github.com/haskell/network,Haskell,"License(name=""Other"")",255,237,0,125,7,1.6,5,12,8,2.0,11944,0.64936
mapper,https://github.com/OpenOrienteering/mapper,C++,"License(name=""GNU General Public License v3.0"")",251,113,0,155,2,13.0,11,113,76,2.6,1272,0.64413
fog-aws,https://github.com/fog/fog-aws,Ruby,"License(name=""MIT License"")",255,74,0,159,14,1.0,11,19,15,2.1,1576,0.63979
haddock,https://github.com/haskell/haddock,HTML,"License(name=""BSD 2-Clause ""Simplified"" License"")",262,229,0,159,6,1.6,3,111,62,1.4,3548,0.63926
Catroid,https://github.com/Catrobat/Catroid,Java,,258,129,0,277,3,6.8,6,128,103,1.2,1241,0.63768
rpm,https://github.com/rpm-software-management/rpm,C,"License(name=""Other"")",258,306,4,193,7,7.4,4,184,112,2.2,1150,0.63512
triplea,https://github.com/triplea-game/triplea,Java,"License(name=""GNU General Public License v3.0"")",261,232,0,73,2,24.9,821,828,542,1.6,234,0.63303
azure-sdk-for-ruby,https://github.com/Azure/azure-sdk-for-ruby,Ruby,"License(name=""MIT License"")",261,107,1,81,9,1.9,16,18,7,1.3,5405,0.62542
grass,https://github.com/OSGeo/grass,C,"License(name=""Other"")",260,155,0,66,7,11.8,7,290,171,2.5,85,0.62411
HDF5.jl,https://github.com/JuliaIO/HDF5.jl,Julia,"License(name=""MIT License"")",248,108,0,78,9,3.6,15,145,119,2.5,71,0.62156
poudriere,https://github.com/freebsd/poudriere,Makefile,"License(name=""Other"")",253,128,0,84,7,4.8,8,77,27,1.1,1022,0.6204
java,https://github.com/tensorflow/java,Java,"License(name=""Apache License 2.0"")",263,51,0,70,5,4.0,1,74,35,5.5,2530,0.61688
jmh,https://github.com/openjdk/jmh,Java,"License(name=""GNU General Public License v2.0"")",259,95,0,35,11,1.4,12,13,13,4.8,591,0.6148
anvio,https://github.com/merenlab/anvio,Python,"License(name=""GNU General Public License v3.0"")",259,84,0,53,5,70.1,2,155,130,2.6,165,0.61387
boogie,https://github.com/boogie-org/boogie,C#,"License(name=""MIT License"")",258,140,0,142,6,3.6,107,29,28,1.9,118,0.61264
cspell,https://github.com/streetsidesoftware/cspell,TypeScript,"License(name=""MIT License"")",256,49,0,35,6,6.5,131,437,427,0.7,595,0.60452
ardupilot_wiki,https://github.com/ArduPilot/ardupilot_wiki,Python,"License(name=""Other"")",259,74,0,320,8,20.7,0,212,192,1.2,53,0.60391
openldap,https://github.com/openldap/openldap,C,"License(name=""Other"")",248,274,0,141,7,7.3,12,1,1,1.0,1029,0.60177
openwrt,https://github.com/project-openwrt/openwrt,C,"License(name=""GNU General Public License v3.0"")",259,41,0,343,2,61.8,0,51,49,2.6,595,0.60068
auspice,https://github.com/nextstrain/auspice,JavaScript,"License(name=""GNU Affero General Public License v3.0"")",246,58,0,68,7,11.6,44,95,58,1.6,66,0.59661
backtrace-rs,https://github.com/rust-lang/backtrace-rs,Rust,"License(name=""Other"")",257,69,0,79,4,1.9,16,34,23,3.4,566,0.59599
shopsys,https://github.com/shopsys/shopsys,PHP,"License(name=""Other"")",253,83,0,76,3,17.7,11,212,102,1.1,309,0.5943
zencart,https://github.com/zencart/zencart,PHP,"License(name=""GNU General Public License v2.0"")",247,104,0,37,8,30.4,3,169,130,1.9,60,0.59392
nethermind,https://github.com/NethermindEth/nethermind,C#,"License(name=""Other"")",256,42,0,39,6,21.9,138,328,258,0.8,138,0.59361
man-pages,https://github.com/mkerrisk/man-pages,Roff,,256,198,0,595,3,33.2,12,2,0,0.0,541,0.58859
puppetdb,https://github.com/puppetlabs/puppetdb,Clojure,"License(name=""Apache License 2.0"")",260,116,0,159,4,8.1,18,44,36,0.3,256,0.588
gnocchi,https://github.com/gnocchixyz/gnocchi,Python,"License(name=""Apache License 2.0"")",259,82,0,115,7,0.8,13,49,39,2.9,79,0.58767
precice,https://github.com/precice/precice,C++,"License(name=""GNU Lesser General Public License v3.0"")",250,94,0,42,7,8.4,6,125,84,2.0,123,0.58766
DGtal,https://github.com/DGtal-team/DGtal,C++,"License(name=""GNU Lesser General Public License v3.0"")",253,133,0,58,9,7.5,1,32,26,1.8,261,0.58252
triggers,https://github.com/tektoncd/triggers,Go,"License(name=""Apache License 2.0"")",262,20,0,66,6,5.9,19,177,111,3.4,77,0.58203
chia-blockchain,https://github.com/Chia-Network/chia-blockchain,Python,"License(name=""Apache License 2.0"")",252,19,0,40,3,61.5,26,271,245,1.7,128,0.57936
ember-qunit,https://github.com/emberjs/ember-qunit,JavaScript,"License(name=""MIT License"")",255,84,0,74,8,2.8,8,44,36,0.6,450,0.57876
neo4j-ogm,https://github.com/neo4j/neo4j-ogm,Java,"License(name=""Other"")",259,77,0,39,8,1.9,19,9,8,2.3,331,0.57401
bioformats,https://github.com/ome/bioformats,Java,"License(name=""GNU General Public License v2.0"")",255,200,1,108,7,3.0,10,49,20,2.0,88,0.57381
star,https://github.com/rakudo/star,Shell,"License(name=""Artistic License 2.0"")",248,130,0,42,5,2.6,1,40,24,0.8,6028,0.57254
dcm4chee-arc-light,https://github.com/dcm4che/dcm4chee-arc-light,Java,,261,68,0,16,3,16.5,8,251,122,0.1,6369,0.57063
carbon-charts,https://github.com/carbon-design-system/carbon-charts,TypeScript,"License(name=""Apache License 2.0"")",253,42,0,53,6,8.2,9,134,98,1.2,195,0.57053
forms,https://github.com/nette/forms,PHP,"License(name=""Other"")",260,152,0,90,8,1.6,6,23,10,0.7,419,0.57039
mfgtools,https://github.com/NXPmicro/mfgtools,C++,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",256,57,0,37,6,3.0,11,26,12,2.8,435,0.56963
cortx,https://github.com/Seagate/cortx,Jupyter Notebook,"License(name=""Apache License 2.0"")",260,10,0,95,3,49.3,5,220,191,2.1,208,0.56902
win32,https://github.com/MicrosoftDocs/win32,PowerShell,"License(name=""Other"")",263,33,0,473,3,27.0,0,152,127,1.4,83,0.56632
bitnami-docker-postgresql,https://github.com/bitnami/bitnami-docker-postgresql,Shell,"License(name=""Other"")",259,67,0,40,7,30.0,1079,21,15,4.2,4,0.56473
rules_scala,https://github.com/bazelbuild/rules_scala,Starlark,"License(name=""Apache License 2.0"")",260,66,0,125,6,2.5,1,80,63,2.3,129,0.56294
