name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
java-docs-samples,https://github.com/GoogleCloudPlatform/java-docs-samples,Java,"License(name=""Apache License 2.0"")",1232,71,0,206,4,37.3,0,570,545,1.1,1287,0.64052
godot-docs,https://github.com/godotengine/godot-docs,reStructuredText,"License(name=""Other"")",1194,62,0,689,3,16.6,0,361,242,1.5,873,0.63802
GDevelop,https://github.com/4ian/GDevelop,C++,"License(name=""Other"")",2567,134,0,55,6,14.2,16,226,149,3.1,90,0.63405
echarts,https://github.com/apache/echarts,TypeScript,"License(name=""Apache License 2.0"")",44472,95,0,145,4,22.7,13,1049,582,1.7,42,0.63122
mkdocs,https://github.com/mkdocs/mkdocs,Python,"License(name=""BSD 2-Clause ""Simplified"" License"")",11380,85,0,181,6,1.4,6,204,142,1.8,572,0.62674
java-tron,https://github.com/tronprotocol/java-tron,Java,"License(name=""GNU Lesser General Public License v3.0"")",2500,37,1,212,2,21.5,6,197,167,0.9,7589,0.62134
canvas,https://github.com/austintoddj/canvas,PHP,"License(name=""MIT License"")",2566,59,0,71,10,15.1,40,54,43,1.8,91,0.62095
gleam,https://github.com/gleam-lang/gleam,Rust,"License(name=""Apache License 2.0"")",2576,55,0,50,10,18.3,28,167,118,1.6,73,0.62035
jmonkeyengine,https://github.com/jMonkeyEngine/jmonkeyengine,Java,"License(name=""Other"")",2529,120,0,158,5,3.7,3,80,49,1.9,835,0.61987
docs,https://github.com/docker-library/docs,Shell,"License(name=""MIT License"")",3670,79,0,409,5,18.9,0,57,42,1.0,856,0.61706
aws-doc-sdk-examples,https://github.com/awsdocs/aws-doc-sdk-examples,Java,"License(name=""Apache License 2.0"")",3253,54,0,200,5,68.8,0,180,176,0.5,918,0.61622
klipper,https://github.com/KevinOConnor/klipper,C,"License(name=""GNU General Public License v3.0"")",2545,78,0,181,4,14.0,2,466,356,4.3,38,0.61513
docs-cn,https://github.com/pingcap/docs-cn,Python,"License(name=""Apache License 2.0"")",1508,54,0,267,2,19.6,0,680,626,2.6,472,0.6125
tutorial,https://github.com/DjangoGirls/tutorial,CSS,"License(name=""Other"")",1300,80,1,502,9,1.4,1,38,23,2.3,458,0.6107
jetstream,https://github.com/laravel/jetstream,PHP,"License(name=""MIT License"")",2512,5,0,106,7,8.5,43,334,332,2.5,308,0.60845
discord-api-docs,https://github.com/discord/discord-api-docs,JavaScript,404-NotFound,2559,58,0,275,7,4.3,0,417,257,2.4,98,0.60007
grakn,https://github.com/graknlabs/grakn,Java,"License(name=""GNU Affero General Public License v3.0"")",2495,55,0,63,3,24.5,11,186,142,0.4,1744,0.59968
stdlib,https://github.com/stdlib-js/stdlib,JavaScript,"License(name=""Apache License 2.0"")",2443,59,0,19,5,73.5,19,7,3,2.3,1108,0.59829
learnxinyminutes-docs,https://github.com/adambard/learnxinyminutes-docs,JavaScript,404-NotFound,8651,92,0,1756,5,6.1,0,71,24,0.3,213,0.59799
toga,https://github.com/beeware/toga,Python,"License(name=""Other"")",2580,82,0,184,9,18.1,7,107,62,2.1,6,0.59678
docsify,https://github.com/docsifyjs/docsify,JavaScript,"License(name=""MIT License"")",16368,51,0,163,9,4.8,3,117,71,2.2,82,0.59653
webpagetest,https://github.com/WPO-Foundation/webpagetest,PHP,"License(name=""Other"")",2571,121,0,175,8,4.9,2,71,19,0.6,415,0.59642
tutorials,https://github.com/pytorch/tutorials,Jupyter Notebook,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",4612,52,0,244,4,4.7,0,185,72,1.2,2307,0.59601
stellar-core,https://github.com/stellar/stellar-core,C,"License(name=""Other"")",2548,75,0,90,3,14.9,32,157,114,1.6,97,0.59529
es6tutorial,https://github.com/ruanyf/es6tutorial,JavaScript,"License(name=""Other"")",18927,82,0,208,5,1.7,1,20,19,1.6,2342,0.59456
jacoco,https://github.com/jacoco/jacoco,Java,"License(name=""Other"")",2513,141,0,45,7,0.8,1,66,46,1.9,3417,0.59452
stripe-node,https://github.com/stripe/stripe-node,JavaScript,"License(name=""MIT License"")",2556,113,0,137,1,6.2,139,77,66,1.5,612,0.59184
django-reversion,https://github.com/etianen/django-reversion,Python,"License(name=""Other"")",2511,150,0,171,7,0.4,5,8,6,3.1,268,0.58838
nodejs-docs-samples,https://github.com/GoogleCloudPlatform/nodejs-docs-samples,JavaScript,"License(name=""Apache License 2.0"")",2106,97,0,163,4,6.0,0,153,144,1.3,560,0.58346
lagom,https://github.com/lagom/lagom,Scala,"License(name=""Apache License 2.0"")",2506,60,0,152,6,6.0,5,127,98,0.8,147,0.58019
xlsx,https://github.com/tealeg/xlsx,Go,"License(name=""Other"")",4735,116,0,116,5,1.8,7,60,39,1.6,174,0.57795
